epoch,train_loss,val_loss,val_dice,val_iou,lr,is_best
1,0.26115404574238527,0.19891234664689927,0.7702175344739641,0.6512012691724868,0.0001,1
2,0.2066363177737411,0.18524106329395656,0.7740543189502898,0.6595489422480265,9.998903417374228e-05,1
3,0.19611969800019752,0.1741195762441272,0.7851447758220491,0.6724266778855097,9.995614150494293e-05,1
4,0.18795483842188,0.2003432015577952,0.7255857058933803,0.603078742254348,9.990133642141359e-05,0
5,0.18093715407410446,0.17126206187974838,0.7799789462770734,0.6676308961141677,9.982464296247522e-05,0
6,0.17243584035610665,0.17696112805888767,0.7975673272496178,0.6886138036137536,9.972609476841367e-05,1
7,0.1703328366790499,0.19515188719545093,0.7801896061216081,0.6701556972094944,9.96057350657239e-05,0
8,0.16775107985856583,0.17399582337765468,0.8013017257054647,0.6948734442392985,9.946361664814942e-05,1
9,0.16112721395127627,0.17388838600544704,0.7835348390397572,0.6795799561909267,9.929980185352524e-05,0
10,0.15699022050414765,0.17078246538128172,0.8010991726602826,0.6948295071011498,9.911436253643443e-05,0
11,0.15186320826107141,0.16902858799412138,0.7820318960008167,0.6702009002367656,9.890738003669026e-05,0
12,0.14942954970257624,0.1670963365407217,0.8056030040695554,0.7002597831544422,9.867894514365799e-05,1
13,0.1466459216207874,0.16235140420141675,0.8076349428721836,0.7041305167334421,9.842915805643154e-05,1
14,0.14208203472045003,0.16701008194968814,0.8049048332940965,0.6987774167742048,9.81581283398829e-05,0
15,0.1419322262917246,0.19593585303851535,0.798309942654201,0.691622721581232,9.786597487660334e-05,0
16,0.13789963421164728,0.18188739660240355,0.8033495539710636,0.6989724108151028,9.755282581475767e-05,0
17,0.13550762464197313,0.1725118195726758,0.8024543546494983,0.6965485754467192,9.721881851187405e-05,0
18,0.13174004250643204,0.1629744901543572,0.8036563407807124,0.6949750406401498,9.686409947459456e-05,0
19,0.1311033055490377,0.1603513193981988,0.8032052011716934,0.6969240058036078,9.648882429441255e-05,0
20,0.12611850345013093,0.17463476743016923,0.8039482763835362,0.696360833304269,9.609315757942502e-05,0
21,0.12832526710568642,0.17121731142203014,0.7987805718467349,0.6960135034152439,9.567727288213003e-05,0
22,0.1255299675525451,0.17628495068777175,0.806197190284729,0.7017964459600903,9.524135262330097e-05,0
23,0.1211987067242058,0.16669081492083412,0.8051590919494629,0.6986460140773229,9.478558801197063e-05,0
24,0.11719440399688118,0.17152169985430582,0.8076584838685535,0.7018723924954732,9.431017896156071e-05,1
25,0.11537327869814269,0.166428870956103,0.8139660846619379,0.7121899570737567,9.381533400219315e-05,1
26,0.1132381646000609,0.15926464994748432,0.8084248003505525,0.7048820291246687,9.33012701892219e-05,0
27,0.112500725564908,0.16699153795128777,0.8118908632369268,0.7059966325759888,9.276821300802531e-05,0
28,0.1121229635817664,0.17107089999176206,0.8022268533706665,0.6957998292786735,9.221639627510073e-05,0
29,0.10956248434222475,0.16330727097533998,0.815907609462738,0.7107910928272065,9.164606203550494e-05,1
30,0.10789068949465849,0.17128490379878453,0.8104636481830052,0.7069494661830721,9.105746045668517e-05,0
31,0.10319298022255606,0.17912712466149103,0.8111925159181868,0.7057849214190528,9.045084971874734e-05,0
32,0.10291688474161284,0.17026089160215288,0.8076687733332316,0.7019889757746742,8.982649590120978e-05,0
33,0.10305004620126315,0.1673155290739877,0.8154861155010406,0.7099294781684875,8.918467286629196e-05,0
34,0.1039164697333258,0.1712478342510405,0.801848604565575,0.694777136189597,8.852566213878943e-05,0
