epoch,lr,train_loss,train_dice,train_iou,train_boundary_iou,train_hd95,train_mae,val_loss,val_dice,val_iou,val_boundary_iou,val_hd95,val_mae,best_dice,is_best
1,0.01,0.26227527253072835,0.6535738487975443,0.5321189657951234,0.13021572872249626,57.49007753568042,0.1826926761006752,0.161397210016907,0.7858722580362842,0.6734020828551207,0.2018836935603355,35.45046464481456,0.10224568221702991,0.7858722580362842,1
2,0.01,0.1920134453424092,0.7549636707228641,0.6372361110024414,0.1782775807575338,40.73512969858389,0.13216842560886388,0.13563161261892512,0.8210061652304309,0.7158747618637203,0.22867586193904502,30.09044540585487,0.08902803856336515,0.8210061652304309,1
3,0.01,0.1791806942943869,0.7744408794339916,0.659924792858206,0.19644122105584833,37.79316450662985,0.12350264134423422,0.12497865194492494,0.8313361816296417,0.7304959558884238,0.2506626268597782,28.767030127171132,0.08167574022659044,0.8313361816296417,1
4,0.01,0.16792831740117278,0.7887106778513717,0.6775864647293387,0.21139192196524037,35.38388677031467,0.11541837706920041,0.12184158733740509,0.833873731293239,0.7314509574587629,0.24927074531932628,27.48964614624129,0.08181436156273371,0.833873731293239,1
5,0.01,0.16025987842345032,0.7979715676144005,0.688430805805228,0.2221148039171654,34.15741703576949,0.11009429996205465,0.11807864801845087,0.8418961217879125,0.742942731429123,0.26171011934187316,25.695001260533065,0.07798855704715407,0.8418961217879125,1
6,0.01,0.15417624926515694,0.8054687748024795,0.6977651136253288,0.23113464883215357,32.62804634851083,0.10597442701930113,0.11953481766376418,0.8395269257309782,0.7422857843947845,0.2717683052320559,27.183891571957933,0.08030167025200992,0.8418961217879125,0
7,0.01,0.1527480156449922,0.8086711280872763,0.7023439820652949,0.23526853948716878,32.1881617087745,0.10524132863843236,0.1108864310239008,0.8506858031206,0.7550729339987853,0.2773846845277661,24.769250088403894,0.07142582802132134,0.8506858031206,1
8,0.01,0.14957237468454346,0.8129770851935234,0.7075856641452244,0.24084338084832146,31.33183416546642,0.102690066641587,0.11323216279991243,0.8427364475990929,0.7458372300927659,0.2717182841694206,24.651230490584958,0.0733531329597946,0.8506858031206,0
9,0.01,0.1447028959619588,0.8182513169916935,0.7141114380964935,0.24789499832986445,30.795274549023517,0.09983745150735747,0.11261204904631565,0.8489361937672071,0.7511888560559072,0.27556135747351357,25.065651305757736,0.07583988581968826,0.8506858031206,0
10,0.01,0.14082017569834815,0.82373862268087,0.7204020612395668,0.2522834986516198,29.479148259937286,0.09648394332443472,0.10976281086442924,0.8552780679966552,0.7612478929261288,0.28902115970770387,24.699234375089308,0.0737592741198506,0.8552780679966552,1
11,0.01,0.1395155148387983,0.8243208340870043,0.7222599990162943,0.25518432586682177,29.50548375457369,0.09564088717274115,0.10420093694437853,0.8567699542112938,0.7628965463835061,0.2886037872483567,23.97479789965636,0.07036547150711721,0.8567699542112938,1
12,0.01,0.13579208808469362,0.8286682846274311,0.7272751592491307,0.25889601531037276,28.723050679237563,0.09304628097793441,0.12094701060399353,0.8412750305742186,0.7442363838256618,0.2849919107674108,27.74433151607928,0.08707446966184537,0.8567699542112938,0
13,0.01,0.1353356579061726,0.830993249352182,0.7301294658915061,0.26134272833746947,28.357416630926103,0.09244574936170026,0.1077630546411522,0.8595792681142377,0.7665143858025962,0.29732513412156303,23.646406956572267,0.07284669718999219,0.8595792681142377,1
14,0.01,0.13036525207732258,0.8342746854208776,0.7346249602725111,0.26679603731852114,27.758281817050467,0.08987665147670386,0.09924650937318802,0.8601446517628286,0.7693248337963299,0.30100204310560175,23.020100582468075,0.06686080378849768,0.8601446517628286,1
15,0.01,0.1267022674196753,0.8381149872339416,0.7394788461282277,0.2700019040873738,26.816772702570937,0.08707719515574543,0.1033159749589951,0.860752030082373,0.7697294813688388,0.2995559477378634,23.720890095546107,0.06991987381326525,0.860752030082373,1
16,0.01,0.12708905470910772,0.8382117367489644,0.7404924573562907,0.27422637695154145,27.160983011044333,0.08731567689693324,0.10016388829179139,0.8627839537530387,0.7707554105172387,0.30202612665032047,22.079603130683108,0.06686612925311242,0.8627839537530387,1
17,0.01,0.12313338809100718,0.8439192543858163,0.7475693182720152,0.280687906149315,25.996740617391264,0.08379074094208873,0.09572539029092442,0.8689293075079739,0.7797396983505052,0.31288369945749595,21.146267828457315,0.06406380702281439,0.8689293075079739,1
18,0.01,0.12020673095409212,0.8465547835796762,0.7507682517624459,0.2813241571111742,25.74571912870386,0.08220437979848769,0.10167060189160258,0.8627464519297042,0.7709688100987295,0.3071270320716736,22.225504789497446,0.06885253785457085,0.8689293075079739,0
