epoch,lr,train_loss,train_dice,train_iou,train_boundary_iou,train_hd95,train_mae,val_loss,val_dice,val_iou,val_boundary_iou,val_hd95,val_mae,best_dice,is_best
1,0.01,0.26840491477324036,0.6348700729381157,0.5145986163651366,0.12220207529162802,60.877992918552735,0.18595856858764262,0.22911068201065063,0.720408737955135,0.5959749822799131,0.14454473907964738,49.64472184723624,0.1698491313184301,0.720408737955135,1
2,0.01,0.19614445944221653,0.7397377022994431,0.6230498068014014,0.17016982290510071,44.39414612124705,0.13378070927514904,0.19571009959493366,0.7000523896821209,0.5809560698545915,0.14828659095035085,47.46687815404959,0.13112897368125795,0.720408737955135,0
3,0.01,0.18169222647438243,0.7606832101284156,0.6461033468688084,0.18750659757802157,40.280341146017,0.12499557660621761,0.17462168335914613,0.7716596780142584,0.6554521095590577,0.191589727345159,36.710022444206565,0.11865763466117815,0.7716596780142584,1
4,0.01,0.16921205846022586,0.7762176267858185,0.6650058116055498,0.20129621680233079,37.80722184745722,0.11571454197567488,0.16906392120179675,0.7843734408937526,0.669506740206487,0.19757142585355877,35.168253961753486,0.11673445195247907,0.7843734408937526,1
5,0.01,0.16562915897491026,0.7840689066856354,0.6731155665533352,0.21001444838887268,36.25190486983348,0.11367942487383831,0.17664328316847483,0.7860264845425455,0.6742650651619753,0.20994589544771253,37.32836523743266,0.12389128370476621,0.7860264845425455,1
6,0.01,0.1580654114484787,0.7946496129008178,0.686428707828093,0.22261317019097895,33.53186112157839,0.10790949535570392,0.16656711981410072,0.7748702378027783,0.6593748616312999,0.208301793025226,34.85146046036406,0.11372509254031771,0.7860264845425455,0
7,0.01,0.1530594881091799,0.800192120977059,0.693018140674423,0.22932923881043768,32.692530537673505,0.10456664483514329,0.16682376166184743,0.7981668380514613,0.6889859817129506,0.22828189630945883,35.33501079196107,0.11286791911891972,0.7981668380514613,1
8,0.01,0.1496349094777691,0.8028344110090656,0.6970124251780061,0.23294274607851884,32.64153785915022,0.10259270024858891,0.17374551466533117,0.7950347236470146,0.6860792057056332,0.2303139657585644,35.9798807731296,0.11804614421091086,0.7981668380514613,0
9,0.01,0.14708214003820808,0.8087918168290101,0.7038253588642157,0.23972591393740844,31.53722974204392,0.10113277799932154,0.15623089529219128,0.7989835414255263,0.6890231030354795,0.23280378554706693,32.48325411196095,0.10602353534251008,0.7989835414255263,1
10,0.01,0.14301264140070702,0.8119095089007077,0.7073724400979878,0.24161579148502638,30.983900848389286,0.0984354460297143,0.1638466070095698,0.7986139199176007,0.6890336384416653,0.22246821524691332,33.847133564411884,0.11588990068772718,0.7989835414255263,0
11,0.01,0.14196649579977502,0.8162631613587167,0.7125453247673733,0.2466280252091875,30.46873534674943,0.09715310271202149,0.1547871145464125,0.8007674744718253,0.6896466866460941,0.22790580219006365,32.271335793700004,0.10544115663339783,0.8007674744718253,1
12,0.01,0.13749795492206301,0.8192950830768725,0.716991104284857,0.2529364970599972,29.328100800642545,0.09394596322981298,0.1580700880005246,0.8026080032387185,0.6940775505087613,0.23521760301711483,32.52537554985243,0.10750446534504937,0.8026080032387185,1
