model,modal,frequency_metric,error_metric,n,spearman,pearson
swin_unet,NBI,global_hfr,interior_FN,420,0.1295791457182471,0.07484238389010936
swin_unet,NBI,global_hfr,boundary_FN,420,0.13113602770633612,0.12359310483755286
swin_unet,NBI,global_hfr,boundary_FP,420,-0.12465771485588704,-0.11989614713270995
swin_unet,NBI,global_hfr,exterior_FP,420,-0.11312535850201046,-0.11353816500468976
swin_unet,NBI,global_hfr,interior_error_ratio,420,0.10156156155913801,0.07080559451115626
swin_unet,NBI,global_hfr,boundary_error_ratio,420,0.0803396326897932,0.053384969721136585
swin_unet,NBI,global_hfr,exterior_error_ratio,420,-0.08190491855024329,-0.09938940348971746
swin_unet,NBI,global_hfr,boundary_FN_error_ratio,420,0.1344211366918097,0.11377440679322715
swin_unet,NBI,global_hfr,boundary_FP_error_ratio,420,-0.0015262511801639221,-0.03991135459668236
swin_unet,NBI,global_hfr,boundary_fp_fn_balance,420,-0.10397924196248096,-0.10370123058583935
swin_unet,NBI,boundary_hfr,interior_FN,420,0.06656514186210315,0.02362255692605156
swin_unet,NBI,boundary_hfr,boundary_FN,420,0.06760092338841071,0.04832535537872248
swin_unet,NBI,boundary_hfr,boundary_FP,420,-0.08446348575165208,-0.0633332019095167
swin_unet,NBI,boundary_hfr,exterior_FP,420,-0.042997600822091954,-0.00874901789676297
swin_unet,NBI,boundary_hfr,interior_error_ratio,420,0.07449189940293997,0.03504601098380793
swin_unet,NBI,boundary_hfr,boundary_error_ratio,420,0.045826473882906296,-0.0034726435355910998
swin_unet,NBI,boundary_hfr,exterior_error_ratio,420,-0.05024025633859099,-0.02720568118541577
swin_unet,NBI,boundary_hfr,boundary_FN_error_ratio,420,0.10245678994755351,0.048229769731450364
swin_unet,NBI,boundary_hfr,boundary_FP_error_ratio,420,-0.004869005277184301,-0.05287901787151466
swin_unet,NBI,boundary_hfr,boundary_fp_fn_balance,420,-0.07854764959879762,-0.0577240017064172
swin_unet,NBI,boundary_freq_std,interior_FN,420,0.0630552075039222,0.02878771643846166
swin_unet,NBI,boundary_freq_std,boundary_FN,420,0.06576683438177218,0.0660888702860257
swin_unet,NBI,boundary_freq_std,boundary_FP,420,-0.100110528987932,-0.0994028353994605
swin_unet,NBI,boundary_freq_std,exterior_FP,420,0.006659928032100604,0.10386805455325811
swin_unet,NBI,boundary_freq_std,interior_error_ratio,420,0.12579247070910735,0.1013786558326847
swin_unet,NBI,boundary_freq_std,boundary_error_ratio,420,-0.021275958201246677,-0.03461353091832097
swin_unet,NBI,boundary_freq_std,exterior_error_ratio,420,-0.08985842699302075,-0.060629178418083796
swin_unet,NBI,boundary_freq_std,boundary_FN_error_ratio,420,0.08059090592829234,0.06052730350038099
swin_unet,NBI,boundary_freq_std,boundary_FP_error_ratio,420,-0.08560158640736844,-0.10804300228333737
swin_unet,NBI,boundary_freq_std,boundary_fp_fn_balance,420,-0.11588485277630524,-0.11449956102208741
swin_unet,NBI,boundary_freq_gap,interior_FN,420,0.002735500442852762,-0.04384579456419543
