model,modal,n,Dice_mean,IoU_mean,Boundary_IoU_mean,HD95_mean,MAE_mean,scale_mean,global_hfr_mean,boundary_hfr_mean,boundary_freq_std_mean,boundary_freq_gap_mean,interior_FN_mean,boundary_FN_mean,boundary_FP_mean,exterior_FP_mean,interior_error_ratio_mean,boundary_error_ratio_mean,exterior_error_ratio_mean,boundary_FN_error_ratio_mean,boundary_FP_error_ratio_mean,boundary_fp_fn_balance_mean,total_error_pixels_mean,low_dice_count,low_boundary_iou_count,high_hd95_count,high_dice_low_boundary_count,high_dice_high_hd95_count
swin_unet,WL,420,0.7914620936183624,0.6814205940716547,0.20187877920634295,36.20317496256994,0.10876927487164112,0.3232295081728981,0.00014234868373854588,0.0003342083338374336,0.00029052518209465004,0.0002365148747744584,0.11967271338456376,0.35304719696077813,0.4054549214521167,0.061998847806619656,0.25071735377877585,0.43817414265865184,0.3111085035625723,0.2070394275144525,0.23113471514419937,0.5211783165657538,7133.233333333334,26,95,14,7,7
swin_unet,NBI,420,0.8160448934658359,0.7115515017791594,0.2159625638134571,34.96651709612662,0.11485865020104459,0.3780970618838356,0.0005769284522897005,0.0007908373894902588,0.0004823049698330724,0.0003543841294588178,0.10904000118028172,0.37117415384461305,0.39161230732455593,0.0884948724326601,0.26462958467914033,0.4264207862928539,0.30894962902800577,0.22317396630976494,0.20324681998308897,0.4918130045270981,7537.428571428572,18,103,10,7,9
unet,WL,420,0.7509287613002653,0.6317249678455862,0.1615903419706074,48.32144420667967,0.12897709581801398,0.3232295081728981,0.00014234868373854588,0.0003342083338374336,0.00029052518209465004,0.0002365148747744584,0.14105399083895895,0.3942127045258627,0.39919827349265585,0.07870257257142849,0.2687861792824003,0.36536220665645236,0.36585161406114736,0.18959671444388781,0.17576549221256454,0.4890043404771307,8458.011904761905,43,128,32,6,10
unet,NBI,420,0.789900312523621,0.6854637149389536,0.20132068953796517,41.64096253321401,0.13217355848423068,0.3780970618838356,0.0005769284522897005,0.0007908373894902588,0.0004823049698330724,0.0003543841294588178,0.08757484059163144,0.3168303864209876,0.45389178237809974,0.13596136666089134,0.19215662675304868,0.38448048556547193,0.42336288768147945,0.19016985021980892,0.19431063534566295,0.5570659616116376,8673.633333333333,36,120,25,8,17
unetpp,WL,420,0.7455714972442701,0.6291819549177258,0.16732246255398328,49.01275945683948,0.12539802725160756,0.3232295081728981,0.00014234868373854588,0.0003342083338374336,0.00029052518209465004,0.0002365148747744584,0.1715624440185462,0.4273629347154108,0.36163272878880454,0.07149941697398754,0.3028211414508035,0.38242748379854297,0.31475137475065346,0.21168976275484638,0.17073772104369664,0.4473442589105534,8225.028571428571,43,134,29,7,18
unetpp,NBI,420,0.7777355961474828,0.6709041856565504,0.1870917015668116,43.21630991778476,0.12934489655641038,0.3780970618838356,0.0005769284522897005,0.0007908373894902588,0.0004823049698330724,0.0003543841294588178,0.14180276658881855,0.42540349217916373,0.36036292266104136,0.10246612608197087,0.28260439454909864,0.39024086559012633,0.32715473986077503,0.23234692340873747,0.15789394218138883,0.43581093528811987,8483.659523809523,34,124,24,5,11
attention_unet,WL,420,0.7515906026402323,0.6356075217419241,0.1743526167487953,49.631192898525455,0.12314054534349232,0.3232295081728981,0.00014234868373854588,0.0003342083338374336,0.00029052518209465004,0.0002365148747744584,0.1598652013219825,0.4178244527021214,0.3627725612109952,0.06871222594623658,0.29491320380099095,0.38708802084693955,0.3179987753520695,0.21192820077813795,0.17515982006880154,0.4537928828395032,8076.952380952381,44,121,35,4,14
attention_unet,NBI,420,0.7832085566944484,0.6771389916714448,0.18884761696355584,43.156168354118144,0.13080826935225295,0.3780970618838356,0.0005769284522897005,0.0007908373894902588,0.0004823049698330724,0.0003543841294588178,0.11326731119660452,0.3642693391193049,0.41866288646561506,0.12019070924659529,0.23205257754142183,0.3813289862664472,0.386618436192131,0.2022553135738134,0.17907367269263383,0.5082677482567354,8581.738095238095,33,125,29,4,16
