model,modal,n,Dice_mean,IoU_mean,Boundary_IoU_mean,HD95_mean,MAE_mean,scale_mean,global_hfr_mean,boundary_hfr_mean,boundary_freq_std_mean,boundary_freq_gap_mean,interior_FN_mean,boundary_FN_mean,boundary_FP_mean,exterior_FP_mean,interior_error_ratio_mean,boundary_error_ratio_mean,exterior_error_ratio_mean,boundary_FN_error_ratio_mean,boundary_FP_error_ratio_mean,boundary_fp_fn_balance_mean,total_error_pixels_mean,low_dice_count,low_boundary_iou_count,high_hd95_count,high_dice_low_boundary_count,high_dice_high_hd95_count
swin_unet,WL,7,0.8737892379237789,0.7761774867579686,0.08307021321561346,22.70729690628028,0.11791920981236863,0.45294189453125,0.0001347733813041404,0.00026917509886730174,0.0002217208564832441,0.00016774444575275608,0.044293970478161984,0.22918192213364272,0.6902648062892754,0.11887195717863848,0.1453142077261791,0.43045837340984566,0.42422741886397525,0.09862385132311868,0.331834522086727,0.7488207344215783,7763.714285714285,0,7,0,7,0
swin_unet,NBI,7,0.8671533482165172,0.7656200397431016,0.08684254116384363,25.820804994029476,0.13014474511146543,0.5022125244140625,0.0005999214226347857,0.000798900733648257,0.0005142546173388143,0.00039080082728112133,0.11309511274866758,0.5645527988440036,0.3718575658244952,0.08333530981719182,0.40086445131467874,0.37405307874031996,0.22508246994500133,0.24682335923110862,0.12722971950921133,0.36693711005993357,8554.285714285714,0,7,0,7,0
unet,WL,6,0.8666666660312448,0.7647774088527676,0.0734966941843596,20.398007897403136,0.09671954748531177,0.36551157633463544,0.00012683944939283497,0.0003298339764478423,0.00029103012975801706,0.0002512984761665014,0.08388601726883789,0.5117517062127361,0.4038859367852727,0.06403301752431771,0.28616150273767876,0.44285356027194006,0.2709849369903812,0.2526426688461639,0.1902108914257762,0.4427918071150314,6336.0,0,6,0,6,0
unet,NBI,8,0.8771479443792688,0.7816680185092781,0.0845851418304978,26.145391846209176,0.12113859131932253,0.4592304229736328,0.0006009704459743375,0.00066295506248455,0.00035240599365325,0.00032358389437531877,0.032210089677266865,0.26001747372045597,0.6395236457508252,0.18497008448164287,0.11376862258055571,0.4117505839220108,0.4744807934974335,0.14953575888511944,0.26221482503689136,0.7086062956554949,7958.25,0,8,0,8,0
unetpp,WL,7,0.8766223378632321,0.7806589588086071,0.08732354845223476,24.574163307170988,0.12129874261362207,0.4922855922154018,0.00011359150706528885,0.00047630266914805056,0.0005937391011129289,0.0003757171020746839,0.07339349839798666,0.4377539196885136,0.48995158611377987,0.10837924265731014,0.27505073229174026,0.4474939827083074,0.27745528499995237,0.22859288593320098,0.21890109677510639,0.5138409772062043,7920.714285714285,0,7,0,7,1
unetpp,NBI,5,0.865248280434308,0.7627520286374287,0.07412042371906571,27.527083354911507,0.1148477345705032,0.428546142578125,0.00061041609225684,0.0005627927969253,0.00028359096181199996,0.0001398836389281921,0.09021152695091607,0.5428033261373907,0.3730743316480115,0.1158639535252941,0.3317697527756773,0.4079403420600275,0.26028990516429523,0.26622210049771117,0.14171824156231627,0.4033678039882934,7564.6,0,5,0,5,1
attention_unet,WL,4,0.8652518938289676,0.7625974864025071,0.07920373961391113,47.66029626091748,0.17147142067551607,0.585479736328125,5.0097963003943954e-05,0.00020508971934389347,0.00015468811922771176,0.00013589183143824092,0.047912652588316874,0.11647205312277784,0.808556251019267,0.26832148629857133,0.14553694848296123,0.35557477077857397,0.4988882807384648,0.04384888249488647,0.31172588828368747,0.876303613389267,11224.25,0,4,0,4,1
attention_unet,NBI,4,0.8803676556826721,0.7866017158405669,0.07985307998446733,24.821694684668124,0.10783043876290317,0.469757080078125,0.000730872358286025,0.000735124539427825,0.000452527372817775,0.0004668039944272,0.08541330183239688,0.5151702225315997,0.3998581449619365,0.09222909040636179,0.3192838137624942,0.4505662489338474,0.2301499373036584,0.27764489734582043,0.172921351588027,0.43133991736039123,7079.75,0,4,0,4,0
