modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,high_dice_low_boundary_count,Dice_mean,Boundary_IoU_mean,HD95_mean,interior_error_ratio_mean,boundary_error_ratio_mean,exterior_error_ratio_mean,boundary_FN_error_ratio_mean,boundary_FP_error_ratio_mean,boundary_fp_fn_balance_mean,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
WL,gas_36815,test,4,0,4,0,1,0.817308956022974,0.07135761012815744,21.457973179948,0.0001763979537837361,0.4638652053446458,0.5359583967015704,0.008879910490624091,0.4549852948540217,0.9810143839498953,0.2015228271484375,0.0001137784876662,0.0002071624018117,0.0001287032598986,0.0001626739023806,False,True,False
WL,gas_5cb891a480bdc4a8,test,4,0,4,0,0,0.6613489977790843,0.04658082918187913,36.982980614201196,0.5752834946561606,0.4247165053438394,0.0,0.4247165053438394,0.0,0.0,0.1290283203125,0.0003548058764964,0.0007490606309308,0.0003645494049885,0.0004074788759857,False,True,False
WL,gas_35056,test,4,0,4,0,0,0.8199599088284987,0.0771510542626486,23.561463139774233,0.6239764351103245,0.3758373867544357,0.00018617813523979745,0.368316711695435,0.00752067505900068,0.019325323819760563,0.3565521240234375,3.149278061744348e-05,0.0002319277861686,0.000196405956917,0.000149017644697,False,True,False
WL,gas_8d28577af362e689,test,4,0,4,0,2,0.8326751849575657,0.06976939979147767,27.774327992641226,0.5696126118898663,0.3450658045862603,0.08532158352387345,0.2845943173101847,0.06047148727607558,0.17787317500828304,0.423980712890625,0.000199303956082,0.000888126395718,0.0008369924236158,0.0010557619730717,False,True,False
WL,gas_25468,test,4,0,4,0,0,0.7295904987589252,0.048228006496206975,30.399742999195112,0.5946422448003323,0.33360940458703814,0.07174835061262959,0.2955661472546104,0.03804325733242771,0.09837005832154573,0.2834625244140625,0.0002018484768346,0.0002428716035382,0.0002307825171194,0.000275708857927,False,True,False
WL,gas_35742,test,4,0,4,0,0,0.7508772390890243,0.049277605796331274,33.979617285293415,0.01637050274417222,0.3314605443755951,0.6521689528802327,0.050579239693745906,0.2808813046818492,0.8564101900840395,0.1728973388671875,3.873033590178066e-05,0.0002175656315691,0.0002209240852047,9.762439678865532e-05,False,True,False
WL,gas_26130,test,4,4,4,3,0,0.09072750121656639,0.0338837967557902,167.40574015833477,0.25621887258710735,0.3181372727259459,0.42564385468694677,0.29056513946047197,0.027572133265473905,0.27177896275623775,0.01763916015625,4.273096183792902e-05,5.0801605782759056e-05,3.089371062201861e-05,2.1873578497580777e-05,True,True,False
WL,gas_194b3005cde83e0e,test,4,1,4,1,0,0.4455646792361456,0.05956446653074485,112.17594535193177,0.3210270074998464,0.30953528288795884,0.36943770961219474,0.21634639278831358,0.09318889009964525,0.38715563831827027,0.0492706298828125,5.5270088788186565e-05,0.0002844228923203,0.0002447948674537,0.0003214574151819,False,True,False
WL,gas_26020,test,4,3,4,3,0,0.15734674777725785,0.016488413547237075,243.8953565762924,0.6990730826326572,0.3009269173673428,0.0,0.3009269173673428,0.0,0.0,0.1169891357421875,6.07768151463377e-05,2.984386052084045e-05,2.434923985645577e-05,2.1298308895111284e-05,False,True,False
WL,gas_25803,test,4,0,4,0,0,0.6442028232443727,0.039473808522349746,38.64851318042677,0.5815247024665793,0.28208958048994004,0.13638571704348065,0.23912368045971907,0.042965900030220966,0.1657207065179716,0.210601806640625,2.200097907993739e-05,0.0001607354007132,0.0001957044811166,0.0002218155058418,False,True,False
