image,modal,split,model,prediction_path,image_path,mask_path,image_size,erode_dilate_radius,interior_area,boundary_inner_area,boundary_outer_area,exterior_area,total_fn_pixels,total_fp_pixels,total_error_pixels,interior_FN_pixels,boundary_FN_pixels,boundary_FP_pixels,exterior_FP_pixels,interior_FN,boundary_FN,boundary_FP,exterior_FP,interior_error_ratio,boundary_error_ratio,exterior_error_ratio,boundary_FN_error_ratio,boundary_FP_error_ratio,boundary_fp_fn_balance,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,low_dice,low_boundary_iou,high_hd95,high_dice_low_boundary,high_dice_high_hd95
gas_34016,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_34016.png,dataset\NBI\test\images\gas_34016.jpg,dataset\NBI\test\masks\gas_34016.png,256,5,33897,5224,3865,22550,9362,3578,12940,6285,3077,1203,2375,0.18541463846358086,0.5890122511485452,0.311254851228978,0.10532150776053215,0.4857032457496136,0.33075734157650694,0.18353941267387944,0.23778979907264297,0.09296754250386399,0.28107476635514017,0.8202542586523571,0.6952805421576409,0.1235791699709225,49.8196748283246,0.1989397257566452,0.5969390869140625,4.037960570228595e-05,0.0005342969988416,0.0005152333227471,0.0004548369337137,False,False,False,False,False
gas_34021,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_34021.png,dataset\NBI\test\images\gas_34021.jpg,dataset\NBI\test\masks\gas_34021.png,256,5,20876,4121,2841,37698,1663,4902,6565,764,899,1993,2909,0.03659704924315003,0.21815093423926232,0.7015135515663499,0.07716589739508727,0.11637471439451637,0.4405178979436405,0.4431073876618431,0.13693830921553693,0.3035795887281036,0.6891424619640387,0.875629962878285,0.778773832429596,0.2016649677200136,35.0,0.1008250936865806,0.3814239501953125,0.0001102650378697,0.0005813307705937,0.0005156709348757,0.0004981667869271,False,False,False,False,False
gas_34049,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_34049.png,dataset\NBI\test\images\gas_34049.jpg,dataset\NBI\test\masks\gas_34049.png,256,5,4985,1819,1967,56765,533,17817,18350,193,340,1330,16487,0.03871614844533601,0.18691588785046728,0.6761565836298933,0.29044305469919846,0.010517711171662125,0.09100817438692098,0.8984741144414169,0.018528610354223433,0.07247956403269755,0.7964071856287425,0.4045362220717671,0.2535539995756418,0.0480854853072128,79.08476267098347,0.2804528176784515,0.10382080078125,9.982670842486088e-05,0.0003785524923025,0.0002107886464112,6.316695434172974e-05,True,True,False,False,False
gas_34051,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_34051.png,dataset\NBI\test\images\gas_34051.jpg,dataset\NBI\test\masks\gas_34051.png,256,5,9854,2674,2770,50238,5043,13350,18393,3876,1167,1233,12117,0.3933428049523036,0.43642483171278984,0.4451263537906137,0.24119192643019227,0.21073234382645573,0.13048442342195402,0.6587832327515902,0.06344805088892513,0.06703637253302887,0.51375,0.4491239097980671,0.2895936771709393,0.0743620077742099,89.03638500033237,0.2794563174247741,0.191162109375,6.703399311957955e-05,0.0002640112880253,0.0002104622837312,5.797877723162637e-05,True,True,False,False,False
gas_3443f11e79b263b1,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3443f11e79b263b1.png,dataset\NBI\test\images\gas_3443f11e79b263b1.jpg,dataset\NBI\test\masks\gas_3443f11e79b263b1.png,256,5,22916,3293,2284,37043,89,919,1008,0,89,857,62,0.0,0.02702702702702703,0.37521891418563924,0.001673730529384769,0.0,0.9384920634920635,0.061507936507936505,0.0882936507936508,0.8501984126984127,0.9059196617336153,0.9819145542440676,0.9644716544543,0.6301605504587156,4.0,0.0146882971748709,0.3999176025390625,0.0002029499047957,0.0004299341888247,0.0004096164799839,0.0002279862926207,False,False,False,False,False
gas_34972799f982ec5e,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_34972799f982ec5e.png,dataset\NBI\test\images\gas_34972799f982ec5e.jpg,dataset\NBI\test\masks\gas_34972799f982ec5e.png,256,5,24162,3227,2744,35403,1732,7463,9195,690,1042,1039,6424,0.0285572386391855,0.32290052680508213,0.3786443148688047,0.18145354913425416,0.07504078303425775,0.22631865144100055,0.6986405655247417,0.11332245785753127,0.11299619358346928,0.49927919269581933,0.8480124371126897,0.7361298545509072,0.2318014089231801,61.61168720299745,0.1402861922979354,0.4179229736328125,0.0001065067058172,0.000534903240031,0.0003057265690586,0.0001200485609087,False,False,False,False,False
gas_358df89f502b5e42,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_358df89f502b5e42.png,dataset\NBI\test\images\gas_358df89f502b5e42.jpg,dataset\NBI\test\masks\gas_358df89f502b5e42.png,256,5,4631,1557,1709,57639,13,25672,25685,0,13,1551,24121,0.0,0.008349389852280027,0.9075482738443534,0.41848401256093964,0.0,0.060891570955810784,0.9391084290441892,0.0005061319836480436,0.06038543897216274,0.9916879795396419,0.3251143436844458,0.1941113666228646,0.0278293135435992,107.93516572461452,0.3911232352256775,0.09442138671875,0.0001530559564509,0.0003720818637527,0.0001924284806619,0.0001621477612022,True,True,True,False,False
gas_3614635286258cd6,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3614635286258cd6.png,dataset\NBI\test\images\gas_3614635286258cd6.jpg,dataset\NBI\test\masks\gas_3614635286258cd6.png,256,5,8705,2087,2222,52522,110,5678,5788,0,110,1711,3967,0.0,0.05270723526593196,0.77002700270027,0.0755302539888047,0.0,0.31461644782308223,0.6853835521769177,0.019004837595024186,0.29561161022805804,0.9395936298736958,0.7862746041676693,0.6478191911181602,0.0999781229490264,38.28576189310214,0.0885084494948387,0.1646728515625,0.0002447744266113,0.0004317131313225,0.0002536952107852,9.10608776204542e-05,False,True,False,False,False
gas_36946,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_36946.png,dataset\NBI\test\images\gas_36946.jpg,dataset\NBI\test\masks\gas_36946.png,256,5,38192,4908,3886,18550,380,11151,11531,0,380,3178,7973,0.0,0.07742461287693561,0.817807514153371,0.429811320754717,0.0,0.30855953516607404,0.691440464833926,0.03295464400312202,0.27560489116295206,0.8931984260820686,0.8818723541941921,0.7887045432622746,0.2007596310363537,52.1555363017573,0.1746253222227096,0.65765380859375,6.995427278569146e-05,0.0002242029020765,0.0001642082375195,0.0001345372170593,False,False,False,False,True
gas_37050,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_37050.png,dataset\NBI\test\images\gas_37050.jpg,dataset\NBI\test\masks\gas_37050.png,256,5,48153,4943,2329,10111,4341,45,4386,1004,3337,45,0,0.020850206633023904,0.6750960954885697,0.019321597252039503,0.0,0.22891016871865025,0.7710898312813498,0.0,0.7608299133606932,0.010259917920656635,0.013305736250739207,0.956386612899083,0.9164184981910364,0.2491023339317774,16.61168691014699,0.0676817595958709,0.8101806640625,6.665299371372231e-05,0.0005539133207359,0.0005818903363527,0.0010075458744578,False,False,False,False,False
gas_37268,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_37268.png,dataset\NBI\test\images\gas_37268.jpg,dataset\NBI\test\masks\gas_37268.png,256,5,16894,2940,2151,43551,9762,2259,12021,7809,1953,883,1376,0.4622351130578904,0.6642857142857143,0.4105067410506741,0.03159514132855732,0.6496131769403544,0.23592047250644704,0.11446635055319856,0.16246568505116046,0.07345478745528658,0.3113540197461213,0.6278059671199513,0.4575198201396284,0.051381932851048,70.0,0.1827367693185806,0.302642822265625,0.0001024224996008,0.0003847150509853,0.0004190793619944,0.0001707918206982,False,True,False,False,False
gas_37fd36f75f352244,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_37fd36f75f352244.png,dataset\NBI\test\images\gas_37fd36f75f352244.jpg,dataset\NBI\test\masks\gas_37fd36f75f352244.png,256,5,13564,3093,3156,45723,0,27448,27448,0,0,2933,24515,0.0,0.0,0.929340937896071,0.536163418848282,0.0,0.10685660157388517,0.8931433984261148,0.0,0.10685660157388517,1.0,0.5477953840854288,0.377216390915021,0.0699554069119286,89.0,0.4186065196990967,0.2541656494140625,0.0004190459137474,0.0009262285934272,0.0003888891801927,0.0005853280964114,False,True,False,False,False
gas_3899a08b43facf01,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_3899a08b43facf01.png,dataset\NBI\test\images\gas_3899a08b43facf01.jpg,dataset\NBI\test\masks\gas_3899a08b43facf01.png,256,5,15601,2627,2407,44901,537,20423,20960,63,474,1187,19236,0.004038202679315429,0.1804339550818424,0.49314499376817617,0.4284091668337008,0.0030057251908396946,0.07924618320610687,0.9177480916030535,0.022614503816793894,0.056631679389312975,0.7146297411198074,0.6273563004921534,0.4570423488025977,0.1857374392220421,118.3824305383396,0.3199138939380646,0.27813720703125,0.0010084091003342,0.0010462961219752,0.0003614849117754,0.0001784419052054,False,False,True,False,False
gas_38b7b03e6f779fcd,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_38b7b03e6f779fcd.png,dataset\NBI\test\images\gas_38b7b03e6f779fcd.jpg,dataset\NBI\test\masks\gas_38b7b03e6f779fcd.png,256,5,5895,1636,1579,56426,4166,20714,24880,3062,1104,527,20187,0.519423240033927,0.6748166259168704,0.3337555414819506,0.35776060681246236,0.12307073954983923,0.06555466237942122,0.8113745980707395,0.044372990353697746,0.021181672025723474,0.3231146535867566,0.2151532677848467,0.1205443940375891,0.0262115208777811,150.23631322068258,0.3786272406578064,0.1149139404296875,0.0008188417099433,0.0006433996006641,0.0002677790274685,0.0001677091237594,True,True,True,False,False
gas_38f77d5bea557d11,NBI,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\NBI\test\gas_38f77d5bea557d11.png,dataset\NBI\test\images\gas_38f77d5bea557d11.jpg,dataset\NBI\test\masks\gas_38f77d5bea557d11.png,256,5,7411,1931,2080,54114,26,13138,13164,0,26,1795,11343,0.0,0.013464526152252718,0.8629807692307693,0.2096130391395942,0.0,0.13833181403828623,0.8616681859617138,0.0019750835612275903,0.13635673047705865,0.985722130697419,0.5863186835733925,0.4147460087082729,0.0461694571283612,66.57326790837296,0.2009127885103225,0.142547607421875,0.000287256851751,0.0004687686269569,0.0002233051057654,0.00034615003782,False,True,False,False,False
