image,modal,split,model,prediction_path,image_path,mask_path,image_size,erode_dilate_radius,interior_area,boundary_inner_area,boundary_outer_area,exterior_area,total_fn_pixels,total_fp_pixels,total_error_pixels,interior_FN_pixels,boundary_FN_pixels,boundary_FP_pixels,exterior_FP_pixels,interior_FN,boundary_FN,boundary_FP,exterior_FP,interior_error_ratio,boundary_error_ratio,exterior_error_ratio,boundary_FN_error_ratio,boundary_FP_error_ratio,boundary_fp_fn_balance,Dice,IoU,Boundary_IoU,HD95,MAE,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,low_dice,low_boundary_iou,high_hd95,high_dice_low_boundary,high_dice_high_hd95
gas_89c5020ed9db1d57,WL,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\WL\test\gas_89c5020ed9db1d57.png,dataset\WL\test\images\gas_89c5020ed9db1d57.jpg,dataset\WL\test\masks\gas_89c5020ed9db1d57.png,256,5,20600,2783,2575,39578,5860,7,5867,3372,2488,7,0,0.16368932038834952,0.89399928135106,0.0027184466019417475,0.0,0.5747400715868417,0.42525992841315835,0.0,0.4240668143855463,0.0011931140276120675,0.0028056112224448897,0.8563398275311402,0.7487712243074174,0.0780538302277432,17.0,0.0896444544196128,0.3567962646484375,0.000236565771878,0.0003682372187131,0.0003085612198859,0.0001779338635175,False,True,False,True,False
gas_1e64d1109280f3b7,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1e64d1109280f3b7.png,dataset\WL\test\images\gas_1e64d1109280f3b7.jpg,dataset\WL\test\masks\gas_1e64d1109280f3b7.png,256,5,33684,3985,3417,24450,4535,4729,9264,2470,2065,1712,3017,0.07332858330364565,0.5181932245922208,0.5010242903131402,0.12339468302658486,0.26662348877374786,0.40770725388601037,0.32566925734024177,0.22290587219343697,0.1848013816925734,0.4532697908392904,0.8777923784494087,0.7822014051522248,0.0525154457193292,22.02044399099072,0.1408641636371612,0.5747833251953125,0.000333612174164,0.0006494696504728,0.0003473726402003,0.0004304296390095,False,True,False,True,False
gas_33850,WL,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\WL\test\gas_33850.png,dataset\WL\test\images\gas_33850.jpg,dataset\WL\test\masks\gas_33850.png,256,5,21700,3282,3023,37531,1070,5964,7034,421,649,2061,3903,0.019400921658986176,0.19774527726995733,0.681773073106186,0.10399403160054355,0.05985214671595109,0.38527153824282057,0.5548763150412284,0.09226613591128803,0.29300540233153255,0.7605166051660517,0.8724745972443662,0.7737959562703136,0.0939422945439628,28.75046456899026,0.1068040505051612,0.381195068359375,2.128637450566369e-05,0.0001057732011895,0.000124150515977,7.151505290322417e-05,False,True,False,True,False
gas_32435,WL,test,attention_unet,experiment_03_baseline_failure_analysis\predictions\attention_unet\WL\test\gas_32435.png,dataset\WL\test\images\gas_32435.jpg,dataset\WL\test\masks\gas_32435.png,256,5,27391,4071,4233,29841,1685,8378,10063,978,707,3041,5337,0.03570515862874667,0.17366740358634242,0.7184030238601464,0.1788478938373379,0.09718771738050283,0.37245354268110903,0.5303587399383881,0.07025737851535327,0.30219616416575573,0.8113660618996799,0.8557482916572802,0.7478671741698386,0.0969659442724458,24.020824298928627,0.1531409472227096,0.480072021484375,5.692230471721789e-05,6.872769310757387e-05,6.062311632210383e-05,3.66447972725724e-05,False,True,False,True,False
gas_32934,WL,test,attention_unet,experiment_03_baseline_failure_analysis\predictions\attention_unet\WL\test\gas_32934.png,dataset\WL\test\images\gas_32934.jpg,dataset\WL\test\masks\gas_32934.png,256,5,32079,3849,3983,25625,1678,8050,9728,1545,133,3487,4563,0.048162349200411486,0.03455442972200572,0.8754707506904343,0.17806829268292684,0.15881990131578946,0.37212171052631576,0.46905838815789475,0.013671875,0.35844983552631576,0.9632596685082873,0.8756385003171635,0.7787873389156126,0.0599746139200338,77.27481755673561,0.1484773606061935,0.5482177734375,2.817744956459646e-05,0.0001146486407475,9.377259611594324e-05,9.609012193239132e-05,False,True,False,True,True
gas_8d28577af362e689,WL,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\WL\test\gas_8d28577af362e689.png,dataset\WL\test\images\gas_8d28577af362e689.jpg,dataset\WL\test\masks\gas_8d28577af362e689.png,256,5,24905,2881,2765,34985,5747,1351,7098,3685,2062,562,789,0.14796225657498493,0.7157237070461645,0.20325497287522604,0.022552522509646993,0.5191603268526346,0.3696816004508312,0.11115807269653423,0.29050436742744434,0.07917723302338688,0.21417682926829268,0.8609643413227148,0.7558712800286841,0.0744016649323621,20.0,0.1085578799247741,0.423980712890625,0.000199303956082,0.000888126395718,0.0008369924236158,0.0010557619730717,False,True,False,True,False
gas_1726edbf713b7ed8,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_1726edbf713b7ed8.png,dataset\WL\test\images\gas_1726edbf713b7ed8.jpg,dataset\WL\test\masks\gas_1726edbf713b7ed8.png,256,5,22969,3166,3314,36087,750,6780,7530,359,391,2367,4413,0.015629761852932213,0.12349968414403033,0.7142426071213036,0.12228780447252473,0.047675962815405044,0.3662682602921647,0.5860557768924303,0.05192563081009296,0.3143426294820717,0.8582306018854242,0.871094187479001,0.7716269841269842,0.0902394106813996,19.235384061671343,0.1146962717175483,0.3987884521484375,0.0002643030062278,0.0004130316752443,0.000473576370021,0.0001432124897825,False,True,False,True,False
gas_35737,WL,test,unet,experiment_03_baseline_failure_analysis\predictions\unet\WL\test\gas_35737.png,dataset\WL\test\images\gas_35737.jpg,dataset\WL\test\masks\gas_35737.png,256,5,33345,3742,3862,24587,1477,8503,9980,943,534,3064,5439,0.02828010196431249,0.14270443613041153,0.7933713102019679,0.22121446292756336,0.09448897795591182,0.36052104208416835,0.5449899799599198,0.05350701402805611,0.3070140280561122,0.8515842134519177,0.876820339528522,0.7806590257879656,0.0577288780222765,24.186773244895647,0.1525629758834839,0.5659027099609375,4.727751204845593e-05,0.0001422035695321,0.0001098082528875,8.980139109580662e-05,False,True,False,True,False
gas_35737,WL,test,unetpp,experiment_03_baseline_failure_analysis\predictions\unetpp\WL\test\gas_35737.png,dataset\WL\test\images\gas_35737.jpg,dataset\WL\test\masks\gas_35737.png,256,5,33345,3742,3862,24587,96,9597,9693,0,96,3378,6219,0.0,0.025654730090860504,0.8746763335059554,0.25293854475942573,0.0,0.3584029712163417,0.6415970287836583,0.009904054472299598,0.3484989167440421,0.9723661485319517,0.8840609137055837,0.7922125181950509,0.0915723645026801,23.0,0.1479392498731613,0.5659027099609375,4.727751204845593e-05,0.0001422035695321,0.0001098082528875,8.980139109580662e-05,False,True,False,True,False
gas_27629,WL,test,swin_unet,experiment_03_baseline_failure_analysis\predictions\swin_unet\WL\test\gas_27629.png,dataset\WL\test\images\gas_27629.jpg,dataset\WL\test\masks\gas_27629.png,256,5,36062,4085,3339,22050,3929,6161,10090,2199,1730,1859,4302,0.06097831512395319,0.423500611995104,0.55675351901767,0.19510204081632654,0.21793855302279486,0.35569871159563926,0.4263627353815659,0.17145688800792863,0.1842418235877106,0.51797157982725,0.878515328097289,0.7833502767423473,0.099343544857768,25.46852960312097,0.1529017835855484,0.6125946044921875,7.819467289586407e-05,0.0003086858448396,0.0003684282159584,0.0002449077908196,False,True,False,True,False
