epoch,learning_rate,train_loss,val_loss,DSC,mIoU
1,0.009940323036837726,0.4159299024173192,0.30105444726191066,0.6660253543618555,0.499278870509414
2,0.009880262923135217,0.3036305619648525,0.2941236935163799,0.554952615445881,0.38403765951115143
3,0.009820162215805289,0.259673937354769,0.24516726308747344,0.7319015041098014,0.5771645550265214
4,0.009760020610989911,0.23511002700669426,0.22072602479081405,0.7185251998387542,0.5607017787231915
5,0.00969983780045905,0.22621089965956553,0.21211256102511755,0.7729294780852956,0.6298981715245182
6,0.0096396134715172,0.2189399153845651,0.2147901317006663,0.7669619513301663,0.6220099632431874
7,0.009579347306907187,0.20613338811056955,0.19396142896852997,0.7689609916847983,0.6246438873920509
8,0.009519038984711273,0.20702441396032062,0.21527851035720424,0.7739412961213222,0.6312432623929963
9,0.009458688178249358,0.20061625552177428,0.19498200008743688,0.7869175285427483,0.6486925226096376
10,0.009398294555974244,0.18641028680120197,0.18737787886669763,0.7873853755138054,0.6493286157156822
11,0.009337857781363835,0.18850831709589277,0.1789580745132346,0.7912265285618034,0.6545697330872281
12,0.009277377512810133,0.18638853761128016,0.17956783787200326,0.7923742932725214,0.6561422871828096
13,0.009216853403504957,0.17647258106299807,0.18360019577176948,0.7977363209291763,0.66352858762737
14,0.009156285101322235,0.1732490406887872,0.17737551974622828,0.7870839231592747,0.6489186994782252
15,0.009095672248696738,0.17177094071252005,0.17314955529413725,0.7909386908401719,0.6541758344663429
16,0.00903501448249913,0.1683034541947501,0.19367477187984866,0.7532534139258019,0.6041752368444134
17,0.008974311433907216,0.16790344538007462,0.2068536027481681,0.7869984520488573,0.6488025125594648
18,0.00891356272827319,0.16423176295416697,0.1818241900519321,0.792169874668759,0.6558619942120636
19,0.008852767984986767,0.1611573588166918,0.16902206038173875,0.8071486312658325,0.6766548225725282
20,0.008791926817334048,0.15835717703614915,0.17360267576418426,0.7903061306387329,0.6533108505017603
21,0.008731038832351901,0.15865448754174372,0.1808646432663265,0.8051204395102217,0.6738088642009741
22,0.00867010363067774,0.15444409012794497,0.1797864512393349,0.8035797492156547,0.6716534166729461
23,0.008609120806394472,0.1524732234137399,0.19295376633342942,0.7960415312290298,0.6611868697115547
24,0.008548089946870445,0.15049198845454625,0.16698879528986782,0.8112083402824287,0.6823805783391312
25,0.008487010632594182,0.14829933510507853,0.17748915890329764,0.7979879729239727,0.663876862251996
26,0.008425882437003703,0.14443300989695956,0.17068684414813393,0.8057252267927562,0.674656490172155
27,0.008364704926310172,0.14089924829346792,0.19226875054208856,0.8000607905104917,0.6667511022089307
28,0.00830347765931571,0.14060439716066633,0.16766585668450906,0.8148220709619747,0.6875103315699709
29,0.008242200187225029,0.13802578474794117,0.1895638616461503,0.8011086801272106,0.6682079241449251
30,0.00818087205345073,0.13866277681078232,0.16614565112088855,0.8170707232906352,0.690718151438346
31,0.008119492793411912,0.13741085638318742,0.1735015615036613,0.8128507621682289,0.6847081531663164
32,0.008058061934325853,0.13607422011239187,0.16547292533673738,0.8133957324450121,0.6854818869996192
33,0.007996578994992443,0.13333140097345625,0.17286744502029922,0.802138460193632,0.6696420525561741
34,0.007935043485571081,0.13298007752214158,0.1722998310076563,0.7973572895202936,0.663004300922147
35,0.00787345490734964,0.13229188764095307,0.17408766134789116,0.815202825030642,0.6880526407839218
36,0.007811812752505244,0.1298504356827055,0.16724470100904765,0.8185433129115713,0.6928254940341059
37,0.007750116503856393,0.12715652682100023,0.16939804365760402,0.8200465655800667,0.6949821422262791
38,0.007688365634606115,0.1228826437166759,0.16924988768602672,0.8198273170533175,0.694667254123109
39,0.007626559608075705,0.12477870793001992,0.1709285581582471,0.8041500937117964,0.6724506892409365
40,0.007564697877428625,0.12192044123581477,0.16422432755169114,0.8226738240619411,0.6987645742326364
41,0.007502779885384103,0.12043077892916543,0.17596627740483534,0.8183895406921303,0.6926051934000729
42,0.007440805063919963,0.11806621185370852,0.17878888688589398,0.81617935327672,0.6894451076995344
43,0.00737877283396416,0.12080682633604321,0.17069832314001887,0.8183756618607189,0.6925853128159015
44,0.007316682605074497,0.11854548043864115,0.175651048829681,0.819084912219291,0.6936018691732856
45,0.007254533775105938,0.11601737185886929,0.17103400175508698,0.8221847234776534,0.6980591437951134
46,0.007192325729864938,0.11677830486638205,0.18068978551187015,0.8128883209221608,0.6847614552608631
47,0.007130057842750122,0.11443544057437352,0.16726924447636857,0.8169563015529904,0.6905546283926735
48,0.007067729474378663,0.11343962614876882,0.1668686435410851,0.8226709873237359,0.6987604811114062
49,0.007005339972197647,0.10728412527697426,0.1729114665796882,0.8155239902470077,0.688510348485195
50,0.006942888670079619,0.10897614596571242,0.18863176985790858,0.8144534943193219,0.6869856985087673
51,0.006880374887901575,0.10893539088112966,0.17438120120450068,0.821713840974826,0.6973805426476348
52,0.0068177979311064806,0.10620521657807486,0.18016697380103563,0.8045133134698528,0.6729588229922658
53,0.006755157090246463,0.10706612188475473,0.17267388748495205,0.8021533974039352,0.6696628730806262
54,0.006692451640506654,0.10717885560648782,0.1905894481822064,0.8121949674541636,0.6837780150785525
55,0.006629680841208703,0.10633330743653432,0.1699212667973418,0.8061324405901493,0.6752276952638254
56,0.006566843935292856,0.10462298064572471,0.19280730674141333,0.812193840959508,0.6837764182128522
57,0.006503940148777423,0.10014120168345314,0.18288926341031725,0.8162181417494222,0.6895004650231837
58,0.0064409686901943895,0.0973890050990241,0.17257214314059205,0.8202008384880197,0.6952037814955195
59,0.006377928749999892,0.09959873068332672,0.17380019677312752,0.8137618201117617,0.6860020474040147
