modal,split,count,scale_mean,scale_std,scale_var,global_hfr_mean,global_hfr_std,global_hfr_var
NBI,test,420,0.3780970618838356,0.23655463225009832,0.05595809403897926,0.0005769284522897509,0.00038914568094822893,1.5143436100066078e-07
NBI,train,1960,0.37920880998883927,0.2277605657049954,0.051874875290259526,0.0005659487127431492,0.00038388349838463826,1.4736654033202857e-07
NBI,val,420,0.3672638666062128,0.22728217604294917,0.05165718754681814,0.000563086516760349,0.00039731141894850503,1.5785636362687447e-07
WL,test,420,0.3232295081728981,0.22629910627528485,0.051211285500992666,0.00014234868373856784,0.00015394707362883828,2.3699701478882952e-08
WL,train,1960,0.31191298815668844,0.21507573712589834,0.04625757270024852,0.00014132671507153998,0.0001501260782732948,2.2537839377719435e-08
WL,val,420,0.2942996070498512,0.21652944385476927,0.046885000056055684,0.0001475011026513905,0.00016839354236282685,2.8356385109501163e-08
