epoch,lr,train_loss,train_dice,train_iou,train_boundary_iou,train_hd95,train_mae,val_loss,val_dice,val_iou,val_boundary_iou,val_hd95,val_mae,best_dice,is_best
1,0.01,0.2686082211075997,0.637316885152281,0.5165472807158772,0.12267152038005152,60.565493980263824,0.18602308139278628,0.2096763301463354,0.7355704298928819,0.6147644526500681,0.1537607946677342,46.4195109644621,0.1478976859677849,0.7355704298928819,1
2,0.01,0.196073095774164,0.7385450674256687,0.621564903502655,0.1683503202971958,44.55330508266569,0.13360611451647186,0.1990213693607421,0.6941038235401623,0.5741145480679162,0.14431707113760173,49.09638205545731,0.13364611329909945,0.7355704298928819,0
3,0.01,0.18216664119034398,0.7588820744043604,0.6443257329969242,0.1865725368128535,41.17788766753194,0.12481557768781441,0.1740106083097912,0.7663191997106813,0.6493149800803697,0.1882131997723201,37.025533378046376,0.1182986838992552,0.7663191997106813,1
4,0.01,0.16979259444134576,0.7747886962018841,0.663093044022845,0.20122898437939277,37.650724828011406,0.11639098740284977,0.16962938408056896,0.783818367384508,0.66906026852813,0.19539684965996518,35.0073492836799,0.1169879643495993,0.783818367384508,1
5,0.01,0.1661088469381235,0.7827379751067363,0.6716761335435196,0.20993418866504093,35.998809705525716,0.11385129439402182,0.17637217172554562,0.786678152036809,0.6742747786267757,0.20355806515221506,35.70134895680936,0.12198058079673155,0.786678152036809,1
6,0.01,0.1584364547717328,0.7927208504557094,0.6842799130312245,0.22138309073052065,33.995835170350134,0.10855296509214486,0.17135589718818664,0.7649925023140186,0.649711410949305,0.20492147546523168,36.4717722606112,0.11605864040320739,0.786678152036809,0
7,0.01,0.15393411383336905,0.799570969860932,0.6918656585359012,0.22718804273161677,32.64724711391973,0.10565325867964373,0.16407295309361958,0.7968084289236764,0.6871139238502549,0.22586649655509766,34.08377869815189,0.11120892560907773,0.7968084289236764,1
8,0.01,0.1496402386499911,0.804589899697863,0.6983392280046741,0.23223894362519684,31.798217288597233,0.10247330928710764,0.17496204447178615,0.7953069187233777,0.6860992227203415,0.2299418907577417,35.3492443805441,0.11794127522568618,0.7968084289236764,0
9,0.01,0.14659557035382914,0.8099096970962039,0.7047154259679234,0.23915707736548772,31.58834005586225,0.1007211096328208,0.15837589360418775,0.7977841088079087,0.6880638580299966,0.23050360570250078,33.37840165594981,0.1072469667570355,0.7977841088079087,1
10,0.01,0.1437649461991933,0.8115079030198052,0.706623427179695,0.24078493577987578,30.905977826447238,0.09869084295945015,0.15890495748746963,0.803140611278219,0.6941760286875146,0.22471255860609687,32.904840710461926,0.1107150448203486,0.803140611278219,1
