epoch,lr,train_loss,train_dice,train_iou,train_boundary_iou,train_hd95,train_hd95_medpy,train_mae,val_loss,val_dice,val_iou,val_boundary_iou,val_hd95,val_hd95_medpy,val_mae,best_dice,is_best
1,0.01,0.26427688147744227,0.6529627719965161,0.531134718991262,0.13154067437192712,57.97875224621203,58.24804184346285,0.18407840733210645,0.1568458403652979,0.7914128383972585,0.6798106897979082,0.20828387788024125,34.2791848616394,34.42733677566934,0.09746090527096017,0.7914128383972585,1
2,0.01,0.19180950959180965,0.7559450702276823,0.6383975547091394,0.18114706130366093,40.9202072399818,41.044825063855654,0.13214125290173326,0.13304781660377255,0.8263902326231837,0.7217940665517766,0.2340327438412066,29.46450998705474,29.557427315692227,0.08535630682385281,0.8263902326231837,1
3,0.01,0.1784529403044746,0.7740307665463513,0.6598168775927717,0.19953258760644707,38.48435667293038,38.587834163537174,0.12282720102302846,0.12617663064828286,0.8286918578169725,0.7271486338430123,0.2534120070539753,28.261097141108987,28.34387095058675,0.08333455702395513,0.8286918578169725,1
4,0.01,0.16768069912133546,0.7861587837933492,0.6756425142999604,0.2129555950852515,36.28764280314324,36.34141718716731,0.11587824002520486,0.12319475493812368,0.8379944335622578,0.7362560260600242,0.25259872910099646,27.358320105222717,27.421452222883786,0.08168199347136051,0.8379944335622578,1
5,0.01,0.16178545779709158,0.7957316744563594,0.6862331181890046,0.22330605447962348,34.740016368477754,34.8004889241971,0.11129955104931061,0.11543331693420526,0.8439770958114288,0.747325270369552,0.2719020659417641,25.855106830964154,25.892983739854177,0.07531464953345024,0.8439770958114288,1
6,0.01,0.15350061359590497,0.806986360683735,0.6998925904237855,0.23322520367660807,32.19588464668021,32.25713822389809,0.10585712961556996,0.1120669293379494,0.8506382822117041,0.7564685918318701,0.2831723644991656,25.536865574803453,25.608603824430325,0.07445282504332029,0.8506382822117041,1
7,0.01,0.1508737966289808,0.810211293881381,0.7040125338865318,0.23745886694808066,32.175446799713825,32.2348306184735,0.10392265676386285,0.10963766258737818,0.8491376887813215,0.7530753932664059,0.279231273045842,23.86565132555743,23.8938176874895,0.07232973133949072,0.8506382822117041,0
8,0.01,0.14865963989547615,0.814324764572494,0.7085782550100777,0.24150457334092762,30.985557179647028,31.023272429289253,0.10259941570859218,0.12350549787162286,0.8226037528845859,0.717962870381892,0.24063334634697323,25.9911811200928,26.006613127389826,0.08251614226518493,0.8506382822117041,0
9,0.01,0.14205894616015,0.821828858139583,0.7185384485488708,0.25005528601189425,29.958033642905963,30.028124054588844,0.09724130970137375,0.13204519957424657,0.8218685908713605,0.7130321374845953,0.24585583488157953,27.818949908008832,27.80699956521706,0.09026861047421239,0.8506382822117041,0
10,0.01,0.1406453069427918,0.8225836567112805,0.7200297259662455,0.2525654708415277,29.44992630340429,29.496919669246843,0.09627829324607115,0.10307350603916385,0.8616036976513898,0.7703313594922286,0.30292372139876195,23.516862581625436,23.555212748866317,0.06919033680420354,0.8616036976513898,1
