epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,1.250277928430207,0.5474954049725341,0.41690353272752034,1.2059209153765724,0.5490323063299195,0.42186862478432713,0.0001
2,1.1156407648203324,0.6159694503262351,0.4839693721061031,1.2070841701257797,0.568245365351302,0.4341495532305315,0.0001
3,1.0734210496046106,0.6366185367607312,0.5051806563021284,1.120799056334155,0.6069620430313833,0.4747991654196725,0.0001
4,1.0393170439467139,0.6524117776852201,0.5209337127509327,1.092673830546084,0.6167358527572265,0.48699460049518145,0.0001
5,1.0058773503011587,0.6685923114730001,0.5388155561609647,1.0449559814873195,0.6440167410646521,0.512170109355422,0.0001
6,0.9905522687094552,0.6734230521249708,0.5443880354711261,1.0426516522254263,0.6414888479327143,0.5111249123666183,0.0001
7,0.971241703811957,0.683888485986514,0.5561829190671173,1.0408765853870483,0.6468042354292907,0.5160951640838196,0.0001
8,0.9558188798476238,0.6920657314482337,0.5645504035021631,1.0236114504081861,0.6552364926399101,0.5233474137806396,0.0001
9,0.9518300302174627,0.6919698057607926,0.5644256954442834,0.9713846270527159,0.6810692168698063,0.5498325698799417,0.0001
10,0.9383785323220857,0.6988489091746884,0.5713969765227134,0.9720887956165132,0.6732757155335731,0.5435391524937746,0.0001
11,0.922063182081495,0.7060167234715684,0.5811617828073343,0.9679113764848027,0.6871871751682879,0.5567960869705554,0.0001
12,0.9142281921542421,0.708680444858422,0.5828463921188201,0.9664083182811737,0.6787363181524367,0.5470039799714012,0.0001
13,0.9132225223949977,0.7102378344575635,0.5857451922152944,0.9927194454840251,0.6769733694990132,0.545955785178267,0.0001
14,0.9046258960451399,0.71647094604468,0.5923990081954826,0.9410392602994329,0.6886005494273317,0.5593002960718091,0.0001
15,0.8946454442277246,0.720551120266114,0.5965294313750427,0.9504391604236194,0.690625284712778,0.5629060965973233,0.0001
16,0.8862595468151326,0.7248134213598978,0.602067612561317,0.9359439051577023,0.696539212835811,0.5686712837121106,0.0001
17,0.8825637306485857,0.7254147433693408,0.6021755888700914,0.9297958113253116,0.7026697453667019,0.5747191389205569,0.0001
18,0.8711408768381391,0.7324682513239996,0.6100778037287483,0.9317823342624165,0.7024712038704443,0.5742904255223389,0.0001
19,0.8720907585961478,0.7299664062426245,0.6079511040310268,0.9415465875040917,0.69644627060491,0.5672807656649722,0.0001
20,0.8672392056912792,0.7330845810571418,0.6117573495138784,0.9327183494965235,0.7010541231345397,0.5727705782638168,0.0001
21,0.8663495545484582,0.7326030750970085,0.6103780067698623,0.9058615988918713,0.7139409304840033,0.5855609423115424,0.0001
22,0.8557755000737248,0.7383772125581713,0.61686029843698,0.9292432460756529,0.704413787738552,0.5749924787380599,0.0001
