epoch,lr,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.0009997532801828658,0.5363344311714172,0.5936326333454677,0.45716641162123,0.5685564007077898,0.7727132943698338,0.5036603045463562,0.6391105707486471,0.5007682736714681,0.6444605878988902,0.7436875120798747
2,0.0009990133642141358,0.4917414173058101,0.6292553436756134,0.49442450097629004,0.6207329964637757,0.7724988331113543,0.45757521788279215,0.6823256786664327,0.550366804599762,0.6588436722755432,0.8189561525980632
3,0.00099778098230154,0.4621282224995749,0.6516338244506291,0.5176065506253924,0.6517674262183053,0.776294641494751,0.4889341918627421,0.6193072970708211,0.4816403897603353,0.7132722473144532,0.6279412961006164
4,0.000996057350657239,0.4482063726016453,0.6607701522963387,0.5289430052893502,0.6712576963220324,0.7682149202483041,0.5385216597716014,0.5146767695744833,0.3805953359603882,0.8337584447860718,0.42469510634740193
5,0.0009938441702975688,0.4392485807623182,0.6680239415168763,0.5367352828809193,0.6751947554520198,0.7787885785102844,0.43777194182078044,0.68660888671875,0.5562851019700368,0.7337585147221883,0.7399559370676676
6,0.0009911436253643444,0.43400017023086546,0.6697564021178655,0.5384783938952855,0.684253020627158,0.7674164625576564,0.43167276501655577,0.6820824853579204,0.5520091299215952,0.7128403123219808,0.7423522432645162
7,0.0009879583809693736,0.4343064258779798,0.6686914123807635,0.5387700438499451,0.6773159771306174,0.777656056199755,0.4424097482363383,0.6690202864011129,0.5382923094431559,0.7608597405751546,0.6742532618840535
8,0.0009842915805643154,0.4220925652980804,0.674835787670953,0.5448613054411752,0.6974124840327671,0.7671568363053458,0.49613438645998637,0.5326259263356526,0.40553819537162783,0.7866484355926514,0.4740953795115153
9,0.0009801468428384714,0.41687945025307793,0.6851680271966116,0.5559831212248121,0.6971169524533408,0.7815773521150862,0.40847773869832354,0.7157649310429891,0.5883621446291606,0.756257274945577,0.7577641757329305
10,0.0009755282581475767,0.409267258473805,0.6916923080171857,0.5626955594335283,0.6995389260564532,0.7957553461619786,0.4034339221318563,0.7243949103355408,0.5987936488787333,0.6993001476923625,0.8436478209495545
11,0.0009704403844771127,0.4108033628123147,0.6850235785756792,0.5561594242709024,0.6936350503989629,0.7816065464700971,0.42728360295295714,0.7232641760508219,0.5999038672447204,0.6911032835642497,0.8540885853767395
12,0.0009648882429441257,0.40736764652388435,0.6900267631667001,0.5623992238725934,0.6992843564919063,0.7875680334227426,0.5270739130179087,0.4857833401362101,0.3549772854646047,0.8186788487434388,0.3941301651795705
13,0.0009588773128419905,0.3989066175052098,0.6970864071164813,0.5693850943020412,0.7079954292093005,0.7907850916045053,0.3906937619050344,0.7175380754470825,0.5916598232587179,0.7811817677815756,0.7387904214859009
14,0.0009524135262330098,0.3942604761464255,0.6987793551172529,0.5715473563330514,0.7075415800298963,0.7911965642656599,0.392218546072642,0.7037038977940877,0.5751697611808777,0.7998235034942627,0.7015542785326639
15,0.0009455032620941839,0.3982196293558393,0.6975007377352034,0.5697761297225952,0.7080813763822829,0.7937405245644705,0.3844144292672475,0.7271539441744487,0.6030554509162903,0.7957437014579773,0.7480183951059978
16,0.0009381533400219318,0.3937319322994777,0.7024843791552953,0.5738862826142992,0.712911023412432,0.7945088352475848,0.37929006695747375,0.7291788466771444,0.6050974329312643,0.7520458014806112,0.783010295232137
17,0.0009303710135019719,0.39094001276152474,0.7000481373923165,0.571617705140795,0.7097630866936275,0.7999031410898481,0.46490954955418906,0.6426477249463399,0.508015489578247,0.8452490679423015,0.5821008157730102
18,0.0009221639627510076,0.3877739248956953,0.7048634338378906,0.5784847266333444,0.7171020875658308,0.7947199235643659,0.4384381532669067,0.6915346344312032,0.5570129672686259,0.7957293518384297,0.673022141456604
19,0.000913540287137281,0.38311778443200245,0.7050152497632163,0.5790238589899881,0.720624977009637,0.791974538053785,0.37487228949864704,0.7177105840047201,0.5912581872940064,0.7967456754048665,0.7167906681696574
20,0.0009045084971874739,0.37734952109200615,0.7101533736501421,0.5854410093171256,0.7229326329912458,0.7996436779839652,0.44940698544184365,0.5930990799268087,0.46324400027592977,0.841189595858256,0.5276263236999512
21,0.0008950775061878452,0.37737164275986806,0.7109991238798414,0.5859082366739,0.7227560082503728,0.7992389481408255,0.4427126348018646,0.7333905863761901,0.6122545138994853,0.6508104940255482,0.934193221728007
22,0.0008852566213878947,0.37753576721463883,0.7124979506220136,0.5863286140986851,0.728010094846998,0.7992415360042027,0.46188268502553304,0.6276111578941346,0.4922878607114156,0.8772379000981648,0.5528570564587911
