epoch,train_loss,val_loss,val_dice,val_iou,lr,is_best
1,0.3382045705099495,0.2859863596303122,0.6807238703682309,0.5546973063832238,0.0001,1
2,0.28186745455070417,0.2781961213974726,0.6513772737412226,0.5137695426032657,9.998903417374228e-05,0
3,0.26319567409096933,0.24769226468744732,0.6714589124634153,0.5526895636603946,9.995614150494293e-05,0
4,0.25015277345569764,0.2433104498045785,0.6599959237234932,0.5395299729846773,9.990133642141359e-05,0
5,0.23849249968723374,0.24369245426995415,0.7146341868809292,0.5916329258964175,9.982464296247522e-05,1
6,0.23355335501991972,0.2905768241201128,0.7190772771835328,0.5953549095562526,9.972609476841367e-05,1
7,0.22677995215873328,0.21593848424298423,0.7325885891914368,0.6150669069517226,9.96057350657239e-05,1
8,0.22546250126799758,0.21530937807900566,0.7377216441290719,0.6228524122919356,9.946361664814942e-05,1
9,0.2194283839999413,0.21203514337539672,0.7081036737986973,0.5928349125952947,9.929980185352524e-05,0
10,0.21537397187583301,0.2130843982810066,0.7227979955219087,0.6077746975989569,9.911436253643443e-05,0
11,0.21233720134715645,0.20688624807766506,0.721547337940761,0.605550792103722,9.890738003669026e-05,0
12,0.21220194888966423,0.20395461349260238,0.7382005350930351,0.619466967809768,9.867894514365799e-05,1
13,0.20824376968096714,0.19821451902389525,0.7505401208287193,0.6336225503966921,9.842915805643154e-05,1
14,0.20730496596316902,0.204830898131643,0.7443390698659987,0.6286397979373024,9.81581283398829e-05,0
15,0.2044598455939974,0.21249606410662333,0.7331370137986682,0.6192602884201777,9.786597487660334e-05,0
16,0.2039536210347195,0.193902340673265,0.7542736848195394,0.641338776974451,9.755282581475767e-05,1
17,0.20053640959822402,0.20037238810743604,0.7549395436332339,0.6403831351371039,9.721881851187405e-05,1
18,0.19870081014779148,0.1921348165898096,0.7523596150534494,0.6428343863714309,9.686409947459456e-05,0
19,0.19447645496348945,0.1982283429020927,0.7667424729892186,0.6528603082611447,9.648882429441255e-05,1
20,0.19498889145194268,0.21082386686688379,0.6955954863911583,0.5802772232464382,9.609315757942502e-05,0
21,0.19582616048199789,0.19821246990135738,0.7262886756942386,0.6183057523909069,9.567727288213003e-05,0
22,0.19248978197574615,0.19593023047560737,0.7480608077276321,0.6390697547367641,9.524135262330097e-05,0
23,0.19223194821756714,0.1931143371831803,0.7472551408268157,0.6365101905096144,9.478558801197063e-05,0
24,0.18616657086781094,0.1963792431922186,0.7241322324389503,0.6156938024929591,9.431017896156071e-05,0
25,0.18808197537247015,0.1955697401648476,0.7210039138793946,0.6099034780547732,9.381533400219315e-05,0
26,0.18613929645139343,0.19532554348309836,0.7250261494091579,0.6122606532914298,9.33012701892219e-05,0
27,0.1836000232063994,0.19319169762588684,0.757871657326108,0.6480105286552793,9.276821300802531e-05,0
28,0.1820616114200378,0.190766959247135,0.7583450521741595,0.6471933870088487,9.221639627510073e-05,0
29,0.18311973363161088,0.18506834776628586,0.7636738799867175,0.6519276312419346,9.164606203550494e-05,0
30,0.1820815057778845,0.18694445192813874,0.7640958876836867,0.6542958691006615,9.105746045668517e-05,0
31,0.18138552943662722,0.19646517549242293,0.7445282902036394,0.6334285650934491,9.045084971874734e-05,0
32,0.17928839897622867,0.18391197706971849,0.760639150369735,0.6493921302613758,8.982649590120978e-05,0
33,0.17857498353233142,0.1885027303582146,0.7438141113235837,0.6313326699393136,8.918467286629196e-05,0
34,0.1775367360334007,0.18655416525545573,0.761377071198963,0.6500886383510771,8.852566213878943e-05,0
35,0.17603951072206303,0.18654004136721294,0.7719520682380313,0.6629735872859046,8.784975278258779e-05,1
36,0.17598681711420722,0.20211957508609407,0.7337225533667064,0.6239516070910862,8.715724127386969e-05,0
37,0.17265454381704332,0.18886434052671705,0.7417627289181664,0.6308993237359183,8.644843137107055e-05,0
38,0.17098656196375284,0.1835827847321828,0.7570742238135565,0.6524333499726795,8.572363398164014e-05,0
39,0.1744776499210572,0.18577376008033752,0.7542717116219657,0.6409246416318984,8.498316702566826e-05,0
40,0.16989810670516928,0.18692548487867627,0.7660565234365917,0.6499685866492135,8.422735529643442e-05,0
41,0.1696280792051432,0.17911106787976763,0.7743855737504505,0.6641737324850899,8.34565303179429e-05,1
42,0.1671229134408795,0.1818729443209512,0.7714139978090923,0.6582971538816179,8.267103019950527e-05,0
43,0.16935363652146593,0.18826056945891606,0.7499953502700443,0.639059168951852,8.187119948743448e-05,0
44,0.16821996986257787,0.18488047534511204,0.764632298832848,0.6569839329946608,8.105738901391552e-05,0
45,0.16414049158290941,0.18118477435339064,0.7657064426512945,0.6544952767235892,8.022995574311874e-05,0
46,0.164457055530986,0.18278321637993766,0.760531138806116,0.6525511032059079,7.938926261462365e-05,0
47,0.1630241316192004,0.19019233541829245,0.7492404182751974,0.6389884982790266,7.853567838422159e-05,0
48,0.16333947896349188,0.18373928510007403,0.7580984206426711,0.6460166897092546,7.76695774621672e-05,0
49,0.15964863491909845,0.18327019526844934,0.7561831286975316,0.6477733271462577,7.679133974894982e-05,0
50,0.15707678572863948,0.18540104386352357,0.7607538104057312,0.6534930603844779,7.59013504686565e-05,0
51,0.15791039482063177,0.18209776182969412,0.7709548813956124,0.6593351625260853,7.499999999999998e-05,0
52,0.15999619413395316,0.18275812523705617,0.770301437945593,0.6614281330789838,7.408768370508574e-05,0
53,0.15755533262783167,0.17836574699197497,0.7705540850048973,0.6627816325142271,7.316480175599306e-05,0
54,0.15326689055987766,0.17500200541246505,0.7776653670129322,0.6696746020090012,7.223175895924634e-05,1
55,0.15344384689720308,0.17841238535585857,0.7674480608531407,0.6570297019822257,7.12889645782536e-05,0
56,0.15454354903527667,0.17904436545712607,0.7656102714084444,0.6603176247505914,7.033683215378998e-05,0
57,0.15209052623534688,0.17408433868771508,0.7797944988523211,0.6730228378659203,6.937577932260511e-05,1
58,0.15075658863904526,0.1821765146085194,0.7740437064852034,0.6629820471718197,6.840622763423387e-05,0
59,0.1496100718573648,0.18374650180339813,0.7695634279932294,0.6596208424795241,6.742860236609073e-05,0
60,0.15111348343138792,0.18533469566277094,0.7598413189252218,0.645988917350769,6.644333233692912e-05,0
61,0.14869846443132478,0.17278376051357813,0.7830901435443334,0.6746900161107381,6.545084971874734e-05,1
62,0.14748749958009136,0.17849360079992385,0.7764342370487395,0.6666062513987223,6.445158984722355e-05,0
63,0.14608696902893029,0.18558655494735354,0.7600597886812119,0.6475762463751293,6.344599103076326e-05,0
64,0.14688141355100942,0.18190786384400867,0.7647732507614863,0.6551596635863894,6.24344943582427e-05,0
65,0.14511064908334187,0.17857391891025362,0.7713420799800328,0.6645305940083095,6.141754350553276e-05,0
66,0.14335033145486092,0.17727504457746232,0.775205045086997,0.6674206131980532,6.039558454088794e-05,0
67,0.14267061085117105,0.1799778259935833,0.7671188882419041,0.6596554336093721,5.936906572928621e-05,0
68,0.14091031411472632,0.18033641704491207,0.7671611780212039,0.6595578528585888,5.8338437335805085e-05,0
69,0.13927232802522427,0.17891416258755186,0.77506932474318,0.6667523412477403,5.730415142812056e-05,0
70,0.13774573118711003,0.1847008942138581,0.7737016592706952,0.6623214960098267,5.626666167821518e-05,0
71,0.13751279866817046,0.17856179234527406,0.7739178754034497,0.6654948864664351,5.522642316338266e-05,0
72,0.1377292230421183,0.1784193971327373,0.7777507850102016,0.6709162524768284,5.418389216661575e-05,0
73,0.13700685431154408,0.19140172515596662,0.7644646508353097,0.6479137659072876,5.313952597646565e-05,0
74,0.1319992423057556,0.1898479109718686,0.7761005719502767,0.6627839491480872,5.2093782686459966e-05,0
75,0.13249135750288865,0.18256403590951648,0.7769584173247928,0.6656310087158567,5.1047120994167824e-05,0
76,0.13232424429484776,0.1886052334592456,0.7680680672327678,0.6577979876881554,4.9999999999999975e-05,0
77,0.128925519390982,0.19222626955736252,0.7594327245439801,0.6484516631989252,4.895287900583214e-05,0
78,0.12730419477637933,0.19539437279814764,0.7500438951310657,0.640110506897881,4.790621731353999e-05,0
79,0.1274378636661841,0.18570839493047622,0.7776194561095465,0.6681134309087481,4.6860474023534314e-05,0
80,0.12468505237175494,0.18877089364188057,0.7699072905949184,0.6581433375676473,4.581610783338419e-05,0
81,0.12596816788522563,0.19186229649044217,0.7634471893310547,0.6531768282254536,4.4773576836617304e-05,0
82,0.12315980497063422,0.19173352732544854,0.7677179790678479,0.6543407303946359,4.373333832178476e-05,0
83,0.12393504733941993,0.1839387888000125,0.7741080988021124,0.6644255484853472,4.269584857187941e-05,0
84,0.12029421381196197,0.1880902281829289,0.7629991173744202,0.653138111886524,4.166156266419485e-05,0
85,0.11949841249354032,0.18794524116175515,0.7698790050688245,0.6618913798105149,4.063093427071374e-05,0
86,0.11940922457344678,0.18936738130592165,0.7696856606574286,0.6574120918909708,3.9604415459112e-05,0
87,0.12083320435212583,0.18453050866013482,0.7779233007203965,0.6666159067835127,3.858245649446719e-05,0
88,0.11613286298756696,0.19751910169919332,0.765956020922888,0.6565583842141288,3.756550564175724e-05,0
89,0.1144300773131604,0.1923999404623395,0.7648041208585104,0.6520025679043361,3.6554008969236706e-05,0
90,0.11365277146806523,0.19067136971723467,0.7699374488421848,0.659536409945715,3.5548410152776386e-05,0
91,0.11247250732718682,0.19395098047597067,0.7706518650054932,0.6603607279913766,3.454915028125261e-05,0
92,0.10904627556399424,0.18808654929910387,0.7771994386400495,0.6698261062304179,3.3556667663070815e-05,0
93,0.10894672192481099,0.19814521400701432,0.7674423887616112,0.655272786957877,3.257139763390923e-05,0
94,0.10955431262145238,0.18982949015640077,0.7747702927816482,0.6658490901901608,3.15937723657661e-05,0
95,0.10737257447777962,0.1950352431053207,0.770919706707909,0.6604614229429335,3.062422067739484e-05,0
96,0.10725308401244027,0.19938675534157527,0.770646047592163,0.658625028246925,2.9663167846209974e-05,0
97,0.10658056076083865,0.19848920177845727,0.7657839082536243,0.6537215493974231,2.8711035421746357e-05,0
98,0.10480966387050493,0.19993025788239072,0.7694024290357317,0.6557008890878586,2.776824104075363e-05,0
99,0.10397682235557205,0.19715568749677567,0.7753265545481727,0.6659838392620995,2.6835198244006917e-05,0
100,0.10256980321541125,0.19544187102999006,0.7755840687524704,0.6649891302699135,2.591231629491422e-05,0
101,0.09974945281841317,0.2020509041491009,0.7738282402356466,0.6624030714943295,2.4999999999999977e-05,0
102,0.10057569226744223,0.20228745539983115,0.769836836201804,0.6566984659149533,2.4098649531343487e-05,0
103,0.09952710267840599,0.1945727824455216,0.778668240706126,0.6697518155688331,2.3208660251050168e-05,0
104,0.09657985574128676,0.19685735262575604,0.7694081652732122,0.6583767391386486,2.233042253783279e-05,0
105,0.09733342742737458,0.20042703137511297,0.7680997632798694,0.6571496543430146,2.1464321615778412e-05,0
106,0.09675702531726993,0.2020461488337744,0.7727851668993632,0.660115503129505,2.0610737385376342e-05,0
107,0.09554756580262767,0.20467220757688795,0.7657742295946394,0.6533732505071731,1.9770044256881253e-05,0
108,0.09555612323539597,0.19624330302079518,0.7792733198120481,0.6707214849335806,1.894261098608448e-05,0
109,0.09441787089620318,0.20376305892353966,0.7686238794099717,0.6572611967722575,1.8128800512565506e-05,0
110,0.0931937147007913,0.20284027315321423,0.7641564267022269,0.6527409167516799,1.7328969800494736e-05,0
111,0.09312105715578917,0.20219278704552424,0.7705527101244245,0.6593614623660133,1.6543469682057082e-05,0
112,0.0915997106962058,0.2003030565522966,0.773146010580517,0.6610920951479957,1.577264470356556e-05,0
113,0.09167264908248064,0.20004044615087055,0.7728724326406207,0.6618151857739403,1.5016832974331719e-05,0
114,0.08968097725693061,0.20390601470356895,0.7682942651567005,0.6584925623167128,1.4276366018359839e-05,0
115,0.08871385724264748,0.20460834389641172,0.777051818370819,0.666072804587228,1.3551568628929429e-05,0
116,0.08854467855120192,0.20515080378169104,0.7616589949244544,0.6486902032579694,1.2842758726130278e-05,0
117,0.08778514375492018,0.19964498238904135,0.776150115331014,0.6663988584563846,1.2150247217412181e-05,0
118,0.08602645248174667,0.2047812650601069,0.7750519275665283,0.6640606658799307,1.147433786121054e-05,0
119,0.08752120841218501,0.20312348235221137,0.7710231917245047,0.6589763658387321,1.081532713370801e-05,0
120,0.08663521573251608,0.2065581372806004,0.7730877785455613,0.6615384788740248,1.0173504098790184e-05,0
121,0.08538039460474131,0.20561824412572952,0.7799185957227435,0.6699807825542632,9.54915028125263e-06,0
122,0.0851709900309845,0.20446042744886309,0.7719396557126726,0.6613389554477873,8.942539543314794e-06,0
123,0.0853728250125233,0.20338724695500873,0.7751299869446527,0.6652128804297675,8.353937964495025e-06,0
124,0.08446913629162069,0.2051638274675324,0.7731481603213719,0.6626235229628427,7.783603724899244e-06,0
125,0.08409111508909536,0.2061996599038442,0.7755053321520488,0.6643592913945516,7.231786991974668e-06,0
126,0.08312754921463071,0.2072272079331534,0.7730035163107373,0.6623232364654541,6.698729810778074e-06,0
127,0.08264183773069965,0.2076613847698484,0.7742100250153314,0.663915513242994,6.18466599780682e-06,0
128,0.08293431433183807,0.2058762530485789,0.773126524970645,0.6625629561288017,5.689821038439262e-06,0
129,0.08217672254053913,0.20993427350407556,0.7739595004490444,0.6625210540635246,5.214411988029365e-06,0
130,0.08251116934175394,0.20935813046637036,0.7740069128218151,0.6626874849909827,4.758647376699031e-06,0
131,0.08154511789278109,0.20828486042363303,0.7735804750805809,0.6631415395509629,4.322727117869961e-06,0
132,0.08142584696107981,0.2062694535368965,0.7736881676174345,0.6628322408312843,3.906842420574967e-06,0
133,0.08087244905075248,0.20942909490494502,0.7760086297988892,0.6647713820139567,3.5111757055874315e-06,0
134,0.08118911958774742,0.2084827423095703,0.7738152163369315,0.6634188158171518,3.135900525405426e-06,0
135,0.08097695629207455,0.20951031063284192,0.7743619146801176,0.6632314585504078,2.781181488125949e-06,0
136,0.0816552968961852,0.20859444084621612,0.7756878903933934,0.6652299557413374,2.4471741852423225e-06,0
