epoch,lr,train_loss,train_dice,train_iou,train_boundary_iou,train_hd95,train_hd95_medpy,train_mae,val_loss,val_dice,val_iou,val_boundary_iou,val_hd95,val_hd95_medpy,val_mae,best_dice,is_best
1,0.01,0.26453119073191594,0.6493875827604725,0.5283364023578629,0.12863296319744294,58.68765500131766,58.97132450409239,0.18440213837186156,0.15496048476049293,0.7896855486039444,0.6784650194932773,0.20130513139522432,33.97094990381216,34.069008374531286,0.09726608490669414,0.7896855486039444,1
2,0.01,0.19114299587391573,0.7543560188562879,0.6378274872427446,0.17872667334230316,41.258572808042494,41.38663459814541,0.13167928526672767,0.13164517331702508,0.8258678730355962,0.7218157094333365,0.2336476557571746,29.54133723570027,29.641899036132834,0.08635856837660134,0.8258678730355962,1
3,0.01,0.17881952235796328,0.7719094668816419,0.6581514109035973,0.19624685768390818,38.787581691553946,38.90406841950764,0.12312038239643103,0.12585465836259518,0.8282968571328971,0.7258315704452168,0.24694295319201187,27.70720745550906,27.76370408996215,0.08240967483904499,0.8282968571328971,1
4,0.01,0.16725378926714946,0.786583489086201,0.6761209140374309,0.21276773660788806,36.437628884991284,36.518833260715944,0.11553271070631033,0.12547906563590897,0.8353541853729725,0.7334232860833043,0.24641948535258287,27.775168051478456,27.841648479297472,0.083114764022524,0.8353541853729725,1
5,0.01,0.1596039948214231,0.7980892295379269,0.6892834997883136,0.22415203959495364,34.21791788101647,34.31292823121381,0.10966514254524272,0.11567017104220294,0.8444620473798758,0.747088011190358,0.2645036541229254,25.839245590799727,25.91519474615881,0.07525865229502743,0.8444620473798758,1
6,0.01,0.15225986715663095,0.8062978468521173,0.6994970821612853,0.232573289441889,32.22509420886059,32.297924475557345,0.10486740229893697,0.11330803094605203,0.8469796404872626,0.7514081316882202,0.2799296229457124,26.51611579001495,26.589693489234424,0.07600021215159491,0.8469796404872626,1
7,0.01,0.1505239737252223,0.8101674802085954,0.7040408748831882,0.23682316612249973,31.9693196656508,32.06405002898206,0.10362795043523686,0.10876051915681315,0.8543261491186044,0.7595932595108282,0.2789698888265834,23.003756684767804,23.176154543409545,0.0706579237714455,0.8543261491186044,1
8,0.01,0.14918025403187193,0.8124761463715892,0.7070792760266061,0.24155617120472314,31.348030739953515,31.4055814573727,0.10297745468741251,0.13010665798476834,0.8097006101389304,0.7008544174835017,0.2284790773219595,27.84007375205715,27.84734190855703,0.0888370102863412,0.8543261491186044,0
9,0.01,0.14200646224720725,0.8213555090399116,0.7180135019684365,0.2500924731084061,30.12306854242225,30.175839939246746,0.09751033584011723,0.11701969434375223,0.8390053968682116,0.7373485272018765,0.26480496145202675,25.516411302355372,25.555220328148206,0.0786084802613899,0.8543261491186044,0
10,0.01,0.13927403770001798,0.8230904727949825,0.7207842273966116,0.2537878100106033,29.46306772503747,29.514714080940124,0.09581961699047403,0.10036048649052377,0.8620606167382163,0.771202237592583,0.3023246825255306,24.179039578804836,24.253529376677534,0.06780969044042803,0.8620606167382163,1
