model,modal,frequency_metric,frequency_group,n,frequency_mean,frequency_min,frequency_max,Dice_mean,Dice_std,IoU_mean,IoU_std,Boundary_IoU_mean,Boundary_IoU_std,HD95_mean,HD95_std,MAE_mean,MAE_std
swin_unet,WL,scale,low,140,0.09887499128069197,0.008697509765625,0.175201416015625,0.7030458940757586,0.20163973304219607,0.5741396396335763,0.21125808275785435,0.17509175470477517,0.11942256632975122,35.05201594991862,35.87005976829892,0.06937835957755198,0.06426927752648859
swin_unet,WL,scale,mid,140,0.28107332502092636,0.17926025390625,0.3924713134765625,0.8089388963214307,0.13277153774322756,0.6969981249382251,0.1636361374502275,0.18520330706491325,0.11419426754718691,34.609461845820626,23.81199169928575,0.1092803328763693,0.0844507111995307
swin_unet,WL,scale,high,140,0.5897402082170758,0.39306640625,0.965301513671875,0.8624014904578979,0.11285256415115257,0.7731240176431626,0.15416538550217176,0.24534127584934037,0.14844110465246277,38.94804709197059,27.229096620392678,0.14764913216100203,0.11753612761930765
swin_unet,WL,global_hfr,low,140,3.546965801412887e-05,1.1319274057401438e-05,5.342696948011099e-05,0.7854284497280051,0.1809367267087061,0.6766131081320315,0.2063168009900252,0.1938887658507112,0.13026705358767762,41.97387481472333,37.57724248638859,0.12884873824493423,0.11369787030539469
swin_unet,WL,global_hfr,mid,140,8.785805967194593e-05,5.36937000054508e-05,0.0001337457483662,0.8035767306835319,0.14162306160941,0.6926857987350374,0.18104813149487092,0.20128955557459186,0.13129967062368106,34.462515669870655,25.196706558221035,0.11007112091673268,0.09568064270010761
swin_unet,WL,global_hfr,high,140,0.0003037183335295629,0.0001348511775508,0.001047246355484,0.7853811004435499,0.17679237924420818,0.674962875347895,0.19985497016283124,0.21045801619372584,0.13376960789507614,32.17313440311583,22.510081556901092,0.08738796545325643,0.07219805876709406
swin_unet,WL,boundary_hfr,low,140,0.00010819715198826664,1.780291597193157e-05,0.0001832513481694,0.7572116070411395,0.18254346935492669,0.638404070013833,0.2032096816608921,0.16496919543250887,0.11666487836261077,36.5573189268096,35.41933309154088,0.10436549072453216,0.09527677731959874
swin_unet,WL,boundary_hfr,mid,140,0.000277301540527585,0.0001847266738082,0.0003719047034585,0.8063931576302549,0.1513380063501694,0.6983419953505414,0.1841592301950263,0.20606961061094065,0.12481752729716172,36.77633581797901,26.33172254198024,0.11247437618273705,0.08988641713776863
swin_unet,WL,boundary_hfr,high,140,0.0006171263089964493,0.0003725680495139,0.0018661145214978,0.8107815161836924,0.1620652832462185,0.7075157168505894,0.19347707064684416,0.2345975315755793,0.14347147430438198,35.275870142921214,25.639134438626783,0.10946795770765412,0.1047459270684289
swin_unet,WL,boundary_freq_std,low,140,8.055288227415514e-05,8.446436448026723e-06,0.0001576263829138,0.7552124524393828,0.18519515778006493,0.6364687266845687,0.2050084975334458,0.16761611610748817,0.11484772738326558,36.15323390924343,35.11215105797386,0.09810082790208978,0.08627652669532038
swin_unet,WL,boundary_freq_std,mid,140,0.00024441758139904217,0.0001584167245695,0.0003320746612853,0.7966507062492956,0.16003029642097327,0.6867649737917253,0.19063323779729016,0.20414052476685898,0.12881770114282734,34.36715653353633,25.02606121075962,0.10766032168508638,0.09524931550520216
swin_unet,WL,boundary_freq_std,high,140,0.0005466050826107529,0.0003320757883905,0.0021777751058212,0.8225231221664084,0.14846949706224802,0.72102808173867,0.1829388575549185,0.2338796967446817,0.1422646979250925,38.08913444493006,27.210847287271925,0.12054667502774719,0.1067292984470112
swin_unet,WL,boundary_freq_gap,low,140,3.8813587048469436e-05,1.4028904146030363e-06,8.3103348064764e-05,0.7459576105299542,0.1980092482680373,0.627791133061172,0.21410263979681432,0.16962438619039646,0.11887028436918794,37.106383399539965,36.41802337354739,0.09903140933020035,0.09347887583156958
