frequency_metric,prediction_metric,n_groups,spearman_mean,spearman_std,pearson_mean,pearson_std,abs_spearman_mean,abs_pearson_mean
boundary_freq_gap,Boundary_IoU,8,0.24915226040489882,0.04339611390515024,0.26763074158571465,0.03249144727885001,0.24915226040489882,0.26763074158571465
boundary_freq_gap,Dice,8,0.27087550088961826,0.043263724179314816,0.2035413153873672,0.039632116650998576,0.27087550088961826,0.2035413153873672
boundary_freq_gap,HD95,8,-0.07822000994488605,0.09717693287379642,-0.0748375244532112,0.07625383295202091,0.07822000994488605,0.0748375244532112
boundary_freq_gap,IoU,8,0.27087550088961826,0.043263724179314816,0.22895869094975735,0.039212289470518934,0.27087550088961826,0.22895869094975735
boundary_freq_gap,MAE,8,0.007988228334652951,0.1359134826169325,0.02854018116247397,0.1498375499864257,0.007988228334652951,0.02854018116247397
boundary_freq_std,Boundary_IoU,8,0.17251741261771636,0.03807643924725043,0.11855466041635436,0.028682581926032038,0.17251741261771636,0.11855466041635436
boundary_freq_std,Dice,8,0.18085165371480952,0.030936417667797245,0.12854494025739388,0.030636900906843678,0.18085165371480952,0.12854494025739388
boundary_freq_std,HD95,8,0.020463016839882095,0.027878596812286625,-0.02916444907782162,0.05323308243216943,0.020463016839882095,0.02916444907782162
boundary_freq_std,IoU,8,0.18085165371480952,0.030936417667797245,0.13315691505765548,0.028327732254327942,0.18085165371480952,0.13315691505765548
boundary_freq_std,MAE,8,0.12019888026129542,0.021909673191453406,0.07915369248618954,0.03639368659710734,0.12019888026129542,0.07915369248618954
boundary_hfr,Boundary_IoU,8,0.13858181008018344,0.08139685334068592,0.097204462992936,0.11635895165762197,0.13858181008018344,0.097204462992936
boundary_hfr,Dice,8,0.11634612401545093,0.08267959204420443,0.06704315769029379,0.09342324335957007,0.11634612401545093,0.06704315769029379
boundary_hfr,HD95,8,-0.014133123957063223,0.022235793574156337,-0.020941557709311935,0.054340052070218456,0.014133123957063223,0.020941557709311935
boundary_hfr,IoU,8,0.11634612401545093,0.08267959204420443,0.07489331378530013,0.10223342355367727,0.11634612401545093,0.07489331378530013
boundary_hfr,MAE,8,0.00941997262368107,0.02166024269514768,0.008449217752706635,0.05046974014263165,0.00941997262368107,0.008449217752706635
global_hfr,Boundary_IoU,8,0.03322249285786297,0.055730781769437715,0.004128629754683542,0.08940907422017609,0.03322249285786297,0.004128629754683542
global_hfr,Dice,8,0.004431679078888763,0.0453062327604545,0.006391744811967156,0.03526473031266253,0.004431679078888763,0.006391744811967156
global_hfr,HD95,8,-0.09004682081231662,0.05824992885675228,-0.05829209785150373,0.04197948149928595,0.09004682081231662,0.05829209785150373
global_hfr,IoU,8,0.004431679078888763,0.0453062327604545,0.008224974093292243,0.049420384455797876,0.004431679078888763,0.008224974093292243
global_hfr,MAE,8,-0.14561840061193917,0.09448976583118458,-0.1264158579866513,0.06828439043255491,0.14561840061193917,0.1264158579866513
scale,Boundary_IoU,8,0.3244791718691747,0.10539166960683109,0.36474288792854226,0.13935136515353982,0.3244791718691747,0.36474288792854226
scale,Dice,8,0.5188098613328418,0.07937272647536196,0.45561539885346913,0.07911046780311398,0.5188098613328418,0.45561539885346913
scale,HD95,8,-0.07263082529169465,0.11589085278669527,-0.14879763690311035,0.13096928860160392,0.07263082529169465,0.14879763690311035
scale,IoU,8,0.5188098613328418,0.07937272647536196,0.48758032251239425,0.09166433790225653,0.5188098613328418,0.48758032251239425
scale,MAE,8,0.2806820764276606,0.15175427712454115,0.22584069071954013,0.2285569783923019,0.2806820764276606,0.22584069071954013
