epoch,train_loss,val_loss,val_dice,val_iou,lr,is_best
1,0.35588232449122836,0.31553590780212765,0.5572511797859555,0.4298246199176425,0.0001,1
2,0.3034352820746753,0.33925694397517614,0.6004929071380979,0.469776489621117,9.998903417374228e-05,1
3,0.28432153578923675,0.2820859568459647,0.6299371080739158,0.49608976330075943,9.995614150494293e-05,1
4,0.2722613542055597,0.27576089671679904,0.6256787447702317,0.4977186417295819,9.990133642141359e-05,0
5,0.2571747495203602,0.2739886180275962,0.6322155731064932,0.5056417056492397,9.982464296247522e-05,1
6,0.2514458566904068,0.25722238364673794,0.6207243340356009,0.4981356055963607,9.972609476841367e-05,0
7,0.2437751343663858,0.24386264142535982,0.6106717274302528,0.48566879346257164,9.96057350657239e-05,0
8,0.23804523135934558,0.2389878417764391,0.6849010705947876,0.55403037411826,9.946361664814942e-05,1
9,0.2319273334376666,0.22056581548282078,0.6754739943004789,0.5509428356375013,9.929980185352524e-05,0
10,0.2261900942544548,0.22660977485634032,0.6698292896861122,0.5466699072292873,9.911436253643443e-05,0
11,0.22234663543652516,0.24610153692109243,0.6158848932811192,0.4931050380071004,9.890738003669026e-05,0
12,0.2203833755789971,0.2175405408654894,0.6747185769535247,0.5495801590737842,9.867894514365799e-05,0
13,0.2184191608307313,0.22767808721179053,0.6683803558349609,0.5478150464239575,9.842915805643154e-05,0
14,0.21696468153778387,0.21235900961217427,0.697173539797465,0.5731059505825951,9.81581283398829e-05,1
15,0.21258832033799618,0.20944030909311204,0.6925588908649626,0.573091547262101,9.786597487660334e-05,0
16,0.20813331126558537,0.21445327159904298,0.6980588745503199,0.575339002268655,9.755282581475767e-05,1
17,0.21433321438273606,0.20854524430774507,0.6907383515721276,0.5685799814405895,9.721881851187405e-05,0
18,0.20696012700090602,0.2013029796736581,0.7040383299191793,0.585916086605617,9.686409947459456e-05,1
19,0.20515200851523147,0.2129853319554102,0.6970908164978027,0.5754304840451195,9.648882429441255e-05,0
20,0.20444202711995768,0.2145081795397259,0.6686015214238848,0.5450381960187639,9.609315757942502e-05,0
21,0.202054848415511,0.20772986057258788,0.6983553347133454,0.575855226743789,9.567727288213003e-05,0
22,0.1998198710229932,0.21198373891058422,0.7191825912112282,0.5977815066065107,9.524135262330097e-05,1
23,0.1978187039190409,0.20527867419379098,0.717421977860587,0.5965007560593741,9.478558801197063e-05,0
24,0.1969118075103176,0.19741415878136953,0.6972634803681147,0.5795539992196219,9.431017896156071e-05,0
25,0.1967021676350613,0.20164434029942468,0.7204612641107468,0.5993901601859501,9.381533400219315e-05,1
26,0.19372701410736357,0.199736807176045,0.7151455970037551,0.5946731187048413,9.33012701892219e-05,0
27,0.19323224218524232,0.19469647606213888,0.7113196980385553,0.5930755637940907,9.276821300802531e-05,0
28,0.19161779019905598,0.21406426557472774,0.6546833478269123,0.5382618407408396,9.221639627510073e-05,0
29,0.19150319695472717,0.19957826009818486,0.6927160393624079,0.5766011101858957,9.164606203550494e-05,0
30,0.19288181318920486,0.1942212993190402,0.7207939477193923,0.6011605376289004,9.105746045668517e-05,1
31,0.18969314308190832,0.20254456911768232,0.6889851848284404,0.5731227800959633,9.045084971874734e-05,0
32,0.18734756832828328,0.20003212378138588,0.7242312431335449,0.6030967536426726,8.982649590120978e-05,1
33,0.18526406418912264,0.19417198697725932,0.7280283150218781,0.6087899054799761,8.918467286629196e-05,1
34,0.18532438293403508,0.20166419403893607,0.7236445302054996,0.6041342411722456,8.852566213878943e-05,0
35,0.18148142780576434,0.19547549656459262,0.7198671834809439,0.6041371447699411,8.784975278258779e-05,0
36,0.18109401631720212,0.19160352959519342,0.7123866399129232,0.5967712680498759,8.715724127386969e-05,0
37,0.1819473247747032,0.19224983808540164,0.740001562663487,0.6200515366735913,8.644843137107055e-05,1
38,0.17772522872808028,0.20082703715278988,0.726848590373993,0.6072696799323672,8.572363398164014e-05,0
39,0.17564128761997028,0.20388407238892148,0.7230249047279358,0.6058169075420925,8.498316702566826e-05,0
40,0.1781944416007217,0.19044680992762247,0.7299078600747245,0.6113033203851609,8.422735529643442e-05,0
