model,modal,n,Dice_mean,Dice_std,IoU_mean,IoU_std,Boundary_IoU_mean,Boundary_IoU_std,HD95_mean,HD95_std,MAE_mean,MAE_std,low_dice_count,low_boundary_iou_count,high_hd95_count,high_dice_low_boundary_count,high_dice_high_hd95_count
swin_unet,WL,420,0.7914620936183624,0.16720268375044584,0.6814205940716547,0.19572850041315218,0.20187877920634295,0.13164704421839613,36.20317496256994,29.405982184639793,0.10876927487164112,0.09665809839667816,26,95,14,7,7
unet,WL,420,0.7509287613002654,0.18783055076418473,0.6317249678455862,0.20732530054101583,0.1615903419706074,0.10414791912702,48.321444206679665,38.976104153816074,0.12897709581801398,0.09472836558486973,43,128,32,6,10
unetpp,WL,420,0.7455714972442701,0.20503213574493465,0.6291819549177257,0.2181472676986341,0.16732246255398328,0.1133329582789558,49.01275945683948,44.20156139897558,0.12539802725160756,0.09932106718502685,43,134,29,7,18
attention_unet,WL,420,0.7515906026402323,0.1983124446061133,0.6356075217419241,0.21610940588310457,0.1743526167487953,0.11900434260138187,49.63119289852544,45.36799878649246,0.12314054534349232,0.09815485209293087,44,121,35,4,14
swin_unet,NBI,420,0.8160448934658359,0.14665182060181325,0.7115515017791593,0.18332247110398797,0.21596256381345708,0.15262707024937106,34.96651709612662,25.38012540770344,0.11485865020104459,0.10100823082009339,18,103,10,7,9
unet,NBI,420,0.789900312523621,0.18725006254369686,0.6854637149389537,0.21571441418557358,0.20132068953796514,0.1429034561564247,41.64096253321401,30.049636241743915,0.1321735584842307,0.11251357475455939,36,120,25,8,17
unetpp,NBI,420,0.7777355961474828,0.19764591007585733,0.6709041856565504,0.21900112676645664,0.1870917015668116,0.13572162998980347,43.21630991778476,40.89438449367686,0.12934489655641038,0.10330170982897731,34,124,24,5,11
attention_unet,NBI,420,0.7832085566944484,0.19207343093811788,0.6771389916714449,0.21669038780049316,0.18884761696355584,0.13658137323701267,43.156168354118144,35.88769223728793,0.13080826935225295,0.10509290594712027,33,125,29,4,16
