epoch,lr,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.0009998903417374227,0.5363344311714172,0.5936326333454677,0.45716641162123,0.5685564007077898,0.7727132943698338,0.5036603045463562,0.6391105707486471,0.5007682736714681,0.6444605878988902,0.7436875120798747
2,0.0009995614150494292,0.4858440433229719,0.6363847923278808,0.5028501408440726,0.6274166807106563,0.7793635405812944,0.46352284828821816,0.6787454239527384,0.5458811402320862,0.6743016783396403,0.7829349939028422
3,0.0009990133642141358,0.46785212176186697,0.6454458240100316,0.5117088675498962,0.649309355361121,0.7684491777420044,0.5330474265416463,0.484611485004425,0.3510508410135905,0.8013048020998637,0.40094309171040854
4,0.0009982464296247522,0.4529909711224692,0.6550006343637194,0.5215399721690587,0.6674664665971484,0.763216267994472,0.7173603542645772,0.1414401720960935,0.0838031013806661,0.890255134900411,0.08540382534265518
5,0.0009972609476841367,0.4437001848220825,0.6660079852172307,0.5340338243756976,0.6681481289012091,0.7806881420952934,0.46644491036732993,0.6975716892878214,0.5668486825625102,0.6853028273582459,0.8133642133076986
6,0.000996057350657239,0.44563657334872653,0.6617121267318725,0.5301441642216274,0.6747869857719966,0.7659109142848424,0.5130882338682811,0.5565538835525513,0.42587899367014564,0.7898125680287679,0.5025781027475993
7,0.000994636166481494,0.4347946221487863,0.6713217507089887,0.540368788753237,0.6821863114833832,0.7761559363773891,0.4509975004196167,0.7115443213780721,0.5870575690269471,0.6758648117383321,0.8618520641326904
8,0.0009929980185352525,0.42355273485183714,0.6769017001560756,0.5462781483786446,0.6976697506223406,0.7712822563307626,0.4132931645711263,0.6983245873451233,0.5721041448911031,0.7423218139012655,0.7515753277142843
9,0.0009911436253643444,0.42002253753798346,0.6816740812574114,0.5516438092504229,0.6969878613948822,0.7781332152230399,0.4188600250085195,0.6960402297973632,0.5655886014302571,0.763243301709493,0.717676215171814
10,0.0009890738003669028,0.41739009669848853,0.6862167593411037,0.5569706010818481,0.6917794104984828,0.7909826466015407,0.4072616664568583,0.7266698662439982,0.6037915913263957,0.6831169978777567,0.8748407602310181
11,0.00098678945143658,0.41426079562732154,0.6859830605983734,0.5569639606135232,0.6914250777448927,0.7893378605161394,0.4382439994812012,0.7202699327468872,0.5954617023468017,0.7003340307871501,0.837974747021993
12,0.0009842915805643154,0.40812095097133094,0.6906137609481812,0.5618348293645041,0.7002603883402688,0.7902472635677883,0.4051057561238607,0.7182169246673584,0.5943923274676005,0.7431919693946838,0.7841232617696127
13,0.000981581283398829,0.4021931040287018,0.6941387833867754,0.5654122078418732,0.7065586749144963,0.7880977381978717,0.3842088333765666,0.7352485760052999,0.6112922863165537,0.7467944701512654,0.8074979098637899
14,0.0009786597487660333,0.3973274028301239,0.6969784980160849,0.5689379836831774,0.7057622512749263,0.7915757094110761,0.3939397327105204,0.710904217561086,0.5857218710581461,0.7566222421328227,0.7515139563878377
15,0.0009755282581475766,0.4014583037580763,0.6973794639110565,0.5687226598603384,0.7076557179859706,0.7933230549948556,0.36692991336186725,0.7282881085077921,0.6047753079732259,0.7858059056599935,0.7578046576182047
16,0.0009721881851187403,0.39554706828934805,0.7016419466904231,0.572703081539699,0.7095876589843205,0.7959005120822361,0.38227193276087446,0.7257865349451701,0.6002333847681681,0.7681270742416382,0.7646644409497579
17,0.0009686409947459456,0.39061388969421384,0.7045997594084058,0.5755470529624394,0.7121967024462563,0.8033821313721793,0.3901455760002136,0.7285094992319743,0.604532257715861,0.7702831268310547,0.7730609401067098
18,0.0009648882429441254,0.3895783143384116,0.7035140819208963,0.5769272255897522,0.7168081748485565,0.7940502432414464,0.38386147538820903,0.7255073070526123,0.6014734125137329,0.7724514937400818,0.7627729598681132
19,0.00096093157579425,0.38348632727350507,0.7061729374953679,0.5797508120536804,0.718740782056536,0.7935268882342748,0.40335928320884706,0.6887829581896464,0.5576483670870463,0.8262794589996338,0.6507696922620138
20,0.0009567727288213001,0.37793922356196813,0.709127517768315,0.5830483950887407,0.7230699692453657,0.797993756702968,0.3958532615502675,0.7032793140411377,0.5755033802986145,0.7406330235799153,0.7454541985193889
21,0.0009524135262330095,0.38184202381542753,0.7083936991010393,0.5826376959255763,0.7188631740638188,0.8010270268576486,0.4119459597269694,0.7461883083979288,0.6269001340866089,0.6943643403053283,0.8990058485666911
22,0.0009478558801197061,0.37994841166904997,0.713189331463405,0.5865312239101955,0.7247321937765394,0.8034009003639221,0.44337130745251974,0.6506221842765808,0.515109608968099,0.8546871852874756,0.5887462973594666
23,0.000943101789615607,0.3765029897008623,0.7144419738224574,0.5878419698987688,0.7220252227783203,0.8025975114958627,0.37880736430486045,0.7223436053593953,0.5958525212605794,0.8086330231030782,0.727667449315389
24,0.0009381533400219313,0.3759299748284476,0.7136837751524789,0.5879997733661106,0.7304588079452514,0.7946505754334586,0.3679556334018707,0.734853343963623,0.6080806573232015,0.7787559795379638,0.7599881052970886
25,0.0009330127018922189,0.3697816560949598,0.7198526331356594,0.5935180773053851,0.7302597602776119,0.805589668750763,0.4037112625439962,0.6832811339696249,0.5509921272595724,0.8330994971593221,0.6441053048769633
26,0.000927682130080253,0.3731607898644039,0.7172926662649427,0.5905455652305058,0.7284970762048448,0.8028802159854344,0.3646341069539388,0.7284331814448038,0.6079235037167867,0.7845242865880331,0.7510394771893819
27,0.0009221639627510072,0.3686809870174953,0.7214110088348389,0.5957859771592277,0.7309299586500441,0.8016855151312692,0.5177967401345571,0.5772622640927633,0.4426121989885966,0.8918669430414835,0.4814769983291626
28,0.0009164606203550494,0.36707390700067793,0.7207890462875366,0.5948603452954974,0.7324528084482466,0.8010750494684492,0.3737269127368927,0.7449388456344604,0.6222833196322123,0.7404155413309733,0.8238516147931417
