epoch,train_loss,train_dice,train_iou,val_loss,val_dice,val_iou,lr
1,1.15716961670895,0.6409676577873406,0.512941014089072,1.1319778450897762,0.6392274720859601,0.5142579664531137,0.0001
2,1.041742818452874,0.6931578949065091,0.568209332413931,1.070579280526865,0.6762677116621444,0.5517602364121107,0.0001
3,0.9977589974598009,0.7103721357772721,0.5865228064719041,1.0218595972373372,0.686456958457248,0.5587772962614898,0.0001
4,0.9680469036102295,0.7188550344262834,0.596606354294292,1.0012020451681956,0.6982669946429588,0.5738556237998472,0.0001
5,0.9469104297307073,0.728220934767496,0.6065525979859113,0.9541198133003144,0.7144608451679519,0.5915077818341863,0.0001
6,0.9156432275869408,0.7423236663267384,0.6226596944526136,0.9380449849225226,0.7187659709548987,0.5971391556486223,0.0001
7,0.9049060208456857,0.7458675176051474,0.6265747166671478,0.9273221570111456,0.7262278210173235,0.6043538110315116,0.0001
8,0.8925006705887464,0.7502581094371376,0.6328508026681163,0.9346031501889229,0.7159833215523046,0.5960991935836758,0.0001
9,0.8859508378165108,0.7527802898897346,0.635004222816042,0.9263335300343377,0.7293460549520789,0.607063390855777,0.0001
10,0.8757775243447752,0.7567288325035891,0.638943622471893,0.9335182042348953,0.7172981037114523,0.5942421053346332,0.0001
11,0.87215540287446,0.7590234562718309,0.6428177885861907,0.888780495098659,0.7460714517345537,0.6244523433865825,0.0001
12,0.8568092246444858,0.7643816093670227,0.6485999861972912,0.8840841462924367,0.7468289330636538,0.6268995419842325,0.0001
13,0.851063258550605,0.7672113496688625,0.6521863381387704,0.8725316137075424,0.7515931838142097,0.6322983263667579,0.0001
14,0.8400270549618468,0.7715484435115989,0.6567498945845408,0.8885720319691158,0.7329729825574207,0.6172771347324969,0.0001
15,0.8369087822583257,0.7728645484037447,0.6584255244581523,0.8942745761502356,0.740204502283045,0.6225898221146795,0.0001
16,0.827451402070571,0.7767610256797457,0.6647190022110747,0.8575293614750816,0.7576745779373404,0.6395579949449074,0.0001
17,0.8256867987768991,0.7771035956451442,0.6636080471566936,0.8616843164676712,0.7540225611192956,0.6353768513975047,0.0001
18,0.8192142574154601,0.7794660563660498,0.6667561790902041,0.858447184023403,0.7569741427416425,0.6398058801925531,0.0001
19,0.8198845863342286,0.7781053227567545,0.6650880277068207,0.8461804680881047,0.7624419907244685,0.6454353960949575,0.0001
20,0.8132365798463627,0.7823193842337282,0.670326060424929,0.8456218008484159,0.7584654529188237,0.6380172527495883,0.0001
21,0.8165405978961867,0.780933843500659,0.6685489872492274,0.8557220886860575,0.7552013581340637,0.6364702702568521,0.0001
22,0.8029091311960804,0.7872006231934155,0.6756751214833187,0.8525967019654456,0.7605805177337059,0.6416077581297815,0.0001
23,0.805048761319141,0.7861703781001335,0.6747400603404268,0.833360185012931,0.765595542056208,0.6469762887239303,0.0001
24,0.7938650403703962,0.7911230138794787,0.680985403698975,0.8482249489142781,0.7509631802545269,0.6360316710797761,0.0001
25,0.7928275536517708,0.7896445636728281,0.6789051963003598,0.8270043585981641,0.7719090048802105,0.6559361875199494,0.0001
26,0.7937606264133843,0.7897333062036787,0.6795666517369164,0.8424956501239822,0.7674606035098529,0.6514041254251794,0.0001
27,0.7882690315343895,0.7926247703966728,0.6831698374702694,0.8339458464866593,0.7672474714853982,0.6520890693296277,0.0001
28,0.7863579448388547,0.7933224158949115,0.6841143067728727,0.8182753108441829,0.7762918199948092,0.6621360040599031,0.0001
29,0.7786394355248432,0.7956188945218646,0.6863114019652861,0.8240241043624423,0.7696309495589424,0.655476357998288,0.0001
30,0.7750798918762986,0.7979398416449678,0.6893155577436691,0.822557058185339,0.7746253518071197,0.6608323324490027,0.0001
31,0.7766519590299956,0.7974738584230269,0.6888554216791714,0.8465437458384605,0.7646040336856156,0.6466850950814844,0.0001
32,0.7774407498690546,0.797987322559504,0.6890667542868278,0.8188118437925974,0.7753475051967414,0.6593945407181869,0.0001
33,0.7747636644207702,0.7984168241002366,0.6898901813958112,0.8183655717543193,0.7730293452913515,0.6572226247002648,0.0001
34,0.7741354837709543,0.7982253230589715,0.6892522902218012,0.801791192094485,0.7799976047988644,0.6669111326850319,0.0001
35,0.7641283047442533,0.802294839827112,0.695024946755013,0.8185083712850298,0.7722411685148651,0.6585445938003015,0.0001
36,0.7666428814128954,0.8007995940804372,0.6924252530991115,0.8121022301770392,0.7732373099036501,0.6567315355987803,0.0001
37,0.7587971487823798,0.8052361755539675,0.6987689971780306,0.8291951567644165,0.7704208953410568,0.6549420724039762,0.0001
