epoch,lr,train_loss,train_dice,train_iou,train_precision,train_recall,val_loss,val_dice,val_iou,val_precision,val_recall
1,0.0009998903417374227,0.5935884288379124,0.4400103979451316,0.310723648752485,0.49247846509729115,0.5759917741162436,0.6236284494400024,0.33353810509045917,0.22664056499799093,0.44759045978387196,0.3642595249414444
2,0.0009995614150494292,0.5775089859962463,0.4619141970361982,0.33188518055847716,0.5040046314682279,0.5979681532723563,0.623077966372172,0.48171709060668944,0.3486050573984782,0.43477525472640993,0.7344877250989278
3,0.0009990133642141358,0.5574280503817967,0.4731434828894479,0.3416688996553421,0.5441444435289928,0.5748702469893864,0.606756382783254,0.4306771465142568,0.30824104726314544,0.43892324606577554,0.5936011203130086
4,0.0009982464296247522,0.5342319595813751,0.5080437056507383,0.37603036863463263,0.5812325694731304,0.6063350350516183,0.5594658875465393,0.43315805196762086,0.32180875261624653,0.6892120067278544,0.4823229118188222
5,0.0009972609476841367,0.5020146136624473,0.5423608664103917,0.41121814131736756,0.6192350481237684,0.6401708066463471,0.5769712018966675,0.09151910439133644,0.05608640504380067,0.8581597057978312,0.05804889793197314
6,0.000996057350657239,0.4829654254232134,0.5634564404828207,0.4304971549340657,0.6363694712093898,0.6540959858894348,0.4914134967327118,0.49298176328341164,0.3781503085295359,0.7236326456069946,0.4824022674560547
7,0.000994636166481494,0.4733768035684313,0.5764492051942008,0.4437101447582245,0.639974068403244,0.6722805534090315,0.4796981473763784,0.5524510629971822,0.427425506512324,0.6452178462346395,0.6177926977475484
8,0.0009929980185352525,0.4680818552630288,0.5795450959886823,0.44769685208797455,0.6478788970197951,0.6729371775899614,0.6904082314173381,0.11040244753162066,0.06918689047296842,0.9045413653055827,0.07206368960440158
9,0.0009911436253643444,0.465121647800718,0.5803369745186397,0.44878904845033374,0.6484842458793095,0.6820129072666168,0.48590094010035195,0.5705188790957133,0.4382607813676198,0.565030722618103,0.7225078256924947
10,0.0009890738003669028,0.45715829457555496,0.5894578184400286,0.45840702397482735,0.6549965628555843,0.6828560008321489,0.5618968415260315,0.28253171463807425,0.19649538253744445,0.8225919278462728,0.21691968033711115
11,0.00098678945143658,0.453177980695452,0.5893031368936811,0.45874724422182356,0.6542875725882394,0.6819374215602875,0.5055189518133799,0.4708812920252482,0.3554043193658193,0.7635424749056499,0.4360626784960429
12,0.0009842915805643154,0.44351691739899773,0.6077887843336378,0.4759309581347874,0.6618668510232653,0.7026074809687478,0.4644704775015513,0.5298139743010203,0.41133411645889284,0.7139312958717347,0.5303492498397827
13,0.000981581283398829,0.44995844227927073,0.600571494443076,0.4687875027315957,0.6588036109719958,0.7006798643725259,0.43989741484324135,0.5916587511698405,0.4652008700370789,0.6654125340779622,0.6623479493459066
14,0.0009786597487660333,0.44222817591258456,0.6067549894537244,0.4736850506918771,0.6691030783312661,0.6979931282997132,0.5431994032859803,0.2973632113138835,0.20738962133725483,0.8522282187143961,0.2266262791554133
15,0.0009755282581475766,0.43895932163511003,0.6144680108342851,0.4811435897009713,0.6640121599606105,0.7081720808574131,0.4451967990398407,0.5732884089152018,0.4471956225236257,0.6963070170084635,0.5953806106249492
16,0.0009721881851187403,0.4343285231930869,0.6203504776954651,0.48793743337903706,0.6673342115538461,0.7209086290427617,0.44157421906789146,0.5929377269744873,0.4694010945161184,0.6537862237294515,0.6844225549697875
17,0.0009686409947459456,0.4310908899988447,0.6185190829208919,0.4858553285258157,0.6677438380037035,0.7050276015486036,0.4368336669603984,0.6108174626032511,0.480288143157959,0.6211420726776123,0.7257201886177063
18,0.0009648882429441254,0.4285839125088283,0.6234706584044866,0.49045593534197124,0.6715436734472002,0.7213415929249355,0.5240879511833191,0.596630871295929,0.4636799689133962,0.5180902274449667,0.8681164153416951
19,0.00096093157579425,0.42511730006762916,0.6283444615772792,0.4943186688423157,0.670579080070768,0.7248746541568211,0.4341592025756836,0.6170962985356648,0.4886387062072754,0.6247464458147685,0.7470965456962585
20,0.0009567727288213001,0.42190449237823485,0.6302338777269636,0.4967588702269963,0.6750188595908029,0.7226087536130633,0.47390421748161315,0.6051817854245504,0.4741640599568685,0.5645740477244059,0.8105307785669963
21,0.0009524135262330095,0.41814309886523654,0.6345120937483651,0.5012750901494707,0.6776509245804377,0.7241601760046823,0.4539090629418691,0.554243806997935,0.42975130438804626,0.7301423827807109,0.5505018774668375
22,0.0009478558801197061,0.41897779192243306,0.6388950640814645,0.5037115473406656,0.6736954062325614,0.7355921346800668,0.509782768090566,0.46595645825068155,0.34918962359428407,0.8358467849095662,0.3957700951894124
23,0.000943101789615607,0.41099459665162225,0.6412982298646654,0.5080835848195212,0.6848875764438084,0.7258100005558559,0.44035941918691,0.5667429796854655,0.44416659235954287,0.7801196400324504,0.5451849484443665
24,0.0009381533400219313,0.40904779417174203,0.6437815363066537,0.510480773789542,0.6850124032156808,0.7301800421306065,0.4953628639380137,0.4678203535079956,0.35169785261154174,0.8336489748954773,0.40365113774935407
25,0.0009330127018922189,0.4093860942976815,0.6452921082292284,0.5110395470687321,0.6857298062528883,0.7352411896841866,0.47590035637219746,0.6199707273642222,0.48688652912775676,0.5634374491373698,0.8490989295641581
26,0.000927682130080253,0.4070931351184845,0.6488608849048615,0.5136602483476911,0.6894355402673994,0.7355174725396293,0.4535663616657257,0.5464152463277181,0.42229435006777444,0.7994038907686869,0.5056363769372304
27,0.0009221639627510072,0.40310100708689006,0.6471547773906163,0.5151202726364136,0.689629089491708,0.7269645956584385,0.44112436374028524,0.587284870147705,0.4553963462511698,0.662148900826772,0.649934527873993
28,0.0009164606203550494,0.40225205779075623,0.6528119484015874,0.518420751946313,0.6842766330923353,0.7448067998886109,0.4887312082449595,0.6257618172963461,0.4923529875278473,0.5575401329994202,0.8486666043599447
29,0.0009105746045668516,0.40334679927144734,0.6507246993269239,0.5178941561494554,0.685264834846769,0.7384243314606803,0.41779649138450625,0.6245782025655111,0.49872762044270835,0.6846211004257202,0.7159139974912008
30,0.0009045084971874733,0.397947113939694,0.6566622027329037,0.5230656300272261,0.6910787187303815,0.7438618014539992,0.4208528765042623,0.6335787685712179,0.5015035160382588,0.6133602507909139,0.7915515406926473
31,0.0008982649590120977,0.3947806467328753,0.6607832172938756,0.5286128275735038,0.6941184113706861,0.7460527852603367,0.4124776868025462,0.609321285088857,0.4831058255831401,0.7391992934544881,0.6252105418841044
32,0.0008918467286629196,0.3968338463987623,0.656418832540512,0.5228084758349827,0.6872672278540475,0.7428882503509522,0.45751378059387204,0.5334669502576193,0.41229841152826946,0.81910613377889,0.4822893261909485
33,0.0008852566213878943,0.3946793339933668,0.6626784639699118,0.5284099130971092,0.6937387556689126,0.7502390122413636,0.5051799901326497,0.6232087930043538,0.4882950750986735,0.5417513473828633,0.8749911777178446
34,0.000878497527825878,0.39423301867076327,0.6619689958436149,0.5294971113545553,0.6983769983904702,0.7480413685526167,0.4007466944058736,0.6417836292584738,0.5082573568820954,0.6810752256711324,0.7130413746833801
35,0.000871572412738697,0.387495071377073,0.6706571849754879,0.5370965647697449,0.6954006126948765,0.7589228831018721,0.4154224137465159,0.6451145124435425,0.5124952749411265,0.6088589310646058,0.8175221983591715
36,0.0008644843137107055,0.38591371417045595,0.671308856351035,0.5387468659877777,0.7025032678672246,0.7556855205127171,0.411549289226532,0.6493249567349751,0.5161194121837616,0.6213723198572795,0.8034494272867838
37,0.0008572363398164014,0.3836203975336892,0.669900552545275,0.5369600651945386,0.7011040026800973,0.7493172720500401,0.4639587048689524,0.5336205005645752,0.41162801861763,0.8468018571535746,0.47508583823839823
38,0.0008498316702566826,0.3799622981888907,0.671094696181161,0.5390026526791709,0.7021504587786538,0.7544657373428345,0.3805452028910319,0.664820781548818,0.5322877724965414,0.6899646854400635,0.7327446095148722
39,0.0008422735529643442,0.3823956372056689,0.6715468038831438,0.5378807442528861,0.6999398817334856,0.7551405211857387,0.4080507304271062,0.6018570121129354,0.47628516316413877,0.7798469519615173,0.5890090322494507
40,0.0008345653031794289,0.3807007544381278,0.6747218612262181,0.541925607919693,0.7046463349887303,0.7567534858839853,0.4207845703760783,0.6453880961736044,0.5138335061073304,0.5977980589866638,0.8368826071421306
41,0.0008267103019950526,0.3787299449103219,0.6787893642698015,0.5459870060852595,0.7008296963146755,0.7678447239739554,0.38275198221206663,0.6570640389124552,0.5260096136728922,0.671072982152303,0.7483519236246745
42,0.0008187119948743447,0.3742335753781455,0.682144364970071,0.5485972300597599,0.7088588597093309,0.7648774940626962,0.3852099049091339,0.6602228331565857,0.528083800872167,0.6747420640786489,0.7500787353515626
43,0.000810573890139155,0.37093246408871244,0.6876693912914821,0.554928308895656,0.7134134420326778,0.7719051681246076,0.38341851989428205,0.6655954353014628,0.5356061895688374,0.679841890335083,0.7672181049982707
44,0.0008022995574311873,0.37091601082256864,0.6847730169977461,0.5534195264748164,0.7105418014526367,0.7683184082167489,0.38492813428243,0.6696154737472534,0.538886075814565,0.6591362603505453,0.7932926082611084
45,0.0007938926261462363,0.36928202833448137,0.6865887749195099,0.5552608142580305,0.7151505485602787,0.768174535206386,0.3864889387289683,0.6403937729199728,0.5137105782826742,0.7184907555580139,0.6959851519266764
46,0.0007853567838422158,0.36515050760337286,0.6919248107501439,0.560600768327713,0.7128445276192257,0.7742195820808411,0.37988829493522647,0.6655264902114868,0.5332051889101664,0.7126966063181559,0.7331355992952983
47,0.0007766957746216719,0.3647328897033419,0.6914178306715829,0.559589741230011,0.7161422450201852,0.7725399892670768,0.4040643068154653,0.6274812348683675,0.49542855699857075,0.7039643907546997,0.6602687875429789
