epoch,learning_rate,train_loss,val_loss,DSC,mIoU
97,2.8490558630346103e-05,1.371053,1.062332,0.7983,0.7723
98,2.7566846261566858e-05,1.345254,1.057865,0.7988,0.7729
99,2.665319313196509e-05,1.333279,1.061648,0.7975,0.7709
100,2.574999999999999e-05,1.326886,1.036024,0.799,0.7727
101,2.485766303603006e-05,1.27556,1.079416,0.7961,0.7708
102,2.3976573648539673e-05,1.251349,1.064557,0.801,0.7736
103,2.310711831245447e-05,1.245636,1.071658,0.7964,0.7708
104,2.2249678399620632e-05,1.239377,1.059258,0.7975,0.7706
105,2.1404630011522583e-05,1.243726,1.081979,0.7986,0.772
106,2.0572343814312444e-05,1.230503,1.06336,0.8005,0.7743
107,1.975318487622364e-05,1.214181,1.081423,0.7944,0.7692
108,1.8947512507439858e-05,1.211716,1.078808,0.7976,0.7723
109,1.8155680102489796e-05,1.197065,1.074081,0.8022,0.7751
110,1.737803498523652e-05,1.200227,1.07513,0.8012,0.7749
111,1.661491825652991e-05,1.180857,1.079718,0.8001,0.7741
112,1.5866664644588407e-05,1.178894,1.097096,0.7977,0.772
113,1.5133602358176246e-05,1.184088,1.074813,0.7996,0.7731
114,1.441605294264014e-05,1.179675,1.063043,0.8014,0.7755
115,1.3714331138868981e-05,1.17356,1.101605,0.7999,0.7742
116,1.3028744745238066e-05,1.169655,1.098507,0.7991,0.7736
117,1.235959448259844e-05,1.164915,1.098075,0.7982,0.7725
118,1.1707173862370935e-05,1.161387,1.101152,0.7995,0.7738
119,1.1071769057802287e-05,1.153938,1.10659,0.7985,0.7729
120,1.0453658778440109e-05,1.150029,1.10171,0.7998,0.7741
121,9.853114147881652e-06,1.153922,1.095189,0.8005,0.7747
122,9.27039858485008e-06,1.147395,1.081126,0.8012,0.7747
123,8.705767687650256e-06,1.142231,1.100897,0.8005,0.7739
124,8.159469122054926e-06,1.138032,1.098397,0.8004,0.7743
125,7.631742512670298e-06,1.136922,1.103425,0.7993,0.7734
126,7.122819337828756e-06,1.137362,1.089596,0.7999,0.7739
127,6.632922828054873e-06,1.133933,1.091291,0.7996,0.7719
128,6.162267868149075e-06,1.131792,1.094775,0.799,0.7732
129,5.711060902932044e-06,1.129524,1.094983,0.7993,0.7727
130,5.279499846691264e-06,1.130924,1.096396,0.7988,0.7722
131,4.86777399636922e-06,1.120641,1.097982,0.7992,0.7726
132,4.47606394853156e-06,1.115354,1.097744,0.8017,0.775
133,4.104541520151374e-06,1.12149,1.101548,0.8015,0.7752
134,3.7533696732446916e-06,1.132241,1.093555,0.8018,0.7749
135,3.422702443389901e-06,1.118265,1.108932,0.7984,0.7731
136,3.112684872162672e-06,1.114697,1.109822,0.7998,0.774
137,2.8234529435159246e-06,1.118539,1.111075,0.7999,0.7737
138,2.5551335241327626e-06,1.11504,1.099772,0.8001,0.7741
139,2.3078443077785665e-06,1.11393,1.096481,0.7986,0.7728
140,2.0816937636766246e-06,1.110512,1.107343,0.7991,0.7739
141,1.8767810889299143e-06,1.103625,1.113492,0.7977,0.773
142,1.6931961650100036e-06,1.106642,1.113963,0.7978,0.7719
143,1.5310195183320777e-06,1.110482,1.10077,0.7979,0.7718
144,1.3903222849333507e-06,1.104344,1.097002,0.8005,0.7744
145,1.271166179270472e-06,1.107628,1.127886,0.7987,0.7733
146,1.1736034671495336e-06,1.107229,1.110416,0.7983,0.7718
147,1.0976769428005578e-06,1.108191,1.102996,0.7986,0.7733
148,1.04341991010651e-06,1.108306,1.093313,0.7991,0.7725
149,1.0108561679951477e-06,1.111451,1.099912,0.7983,0.7725
150,1e-06,1.100817,1.101653,0.7997,0.7739
