modal,image,split,model_count,low_dice_count,low_boundary_iou_count,high_hd95_count,mean_Dice,mean_Boundary_IoU,mean_HD95,max_HD95,scale,global_hfr,boundary_hfr,boundary_freq_std,boundary_freq_gap,common_low_dice,common_low_boundary_iou,common_high_hd95
NBI,gas_2875eb2cb8b326d7,test,4,4,4,3,0.2775217838156878,0.0,99.50532838845311,104.0,0.0991973876953125,0.0004530757317297,0.000575410382873,0.0002984372687833,4.964551111419574e-05,True,True,False
NBI,gas_b2c81bd5a9bcb333,test,4,4,4,3,0.28105906116772555,0.0,116.97879168119738,151.89269846317225,0.082122802734375,0.0002616113169908,0.0005379191010724,0.0004703144472862,0.0001652943170303,True,True,False
NBI,gas_8a3ca5702e6b303f,test,4,4,4,2,0.29328876731936226,0.0,105.72496988148302,128.64795952096537,0.105621337890625,0.0001043748561557,0.0001817784614798,9.4576684351105e-05,6.469371310710044e-05,True,True,False
NBI,gas_ee1a49eaf89ca25a,test,4,4,4,2,0.10129579932476382,0.013032834101382475,184.75352973566237,316.7838379715733,0.0678558349609375,0.0002191597560025,0.0002467016390287,4.8076080958816106e-05,3.628976824999756e-05,True,True,False
NBI,gas_d7ae605323711791,test,4,4,4,3,0.270157624399179,0.02341159334362125,107.17973875449526,119.45960897153635,0.03076171875,0.0013544746996714,0.0022405369274428,0.0004685431656126,0.0004196400373217,True,True,False
NBI,gas_d0dd34ddf755c8ea,test,4,4,4,1,0.12839560731191577,0.023822837976657324,93.80846757743822,105.97522962665434,0.2421112060546875,0.0005271401021697,0.0006301905826087,0.0002817699150965,0.0001781798792354,True,True,False
NBI,gas_1fec79e817fdab12,test,4,4,4,0,0.19469222617465462,0.027017163465753773,89.86313447669602,99.0,0.189422607421875,0.0005054227473466,0.000377018647134,0.0005537531364071,0.0006934341066596,True,True,False
NBI,gas_8809274ac654c27d,test,4,4,4,0,0.22087010442676341,0.0336863211778027,34.87542196197611,41.65092351190575,0.0532379150390625,0.0008805189783833,0.0017319388207557,0.0007809624238046,3.36804509009944e-05,True,True,False
NBI,gas_38b7b03e6f779fcd,test,4,4,4,3,0.34677659256492893,0.03518822014525315,118.50583885615082,150.23631322068258,0.1149139404296875,0.0008188417099433,0.0006433996006641,0.0002677790274685,0.0001677091237594,True,True,False
NBI,gas_33668,test,4,4,4,2,0.29583175824452745,0.04921936785566535,98.76801206275073,138.72398514929955,0.0508270263671875,7.344069133139307e-05,0.0003081264604747,0.0001030169719116,8.49383101343627e-05,True,True,False
NBI,gas_2acd4e36da4c7150,test,4,4,4,3,0.3177373748685393,0.049667236605534404,126.41656412889832,148.78775517065966,0.119140625,0.0006262454799288,0.0014432095179634,0.0005272401365089,0.0003882097070419,True,True,False
NBI,gas_c734daf6e40c2ca5,test,4,1,4,0,0.5763359131210877,0.004348605879922574,66.4807367503759,77.86268164277733,0.24432373046875,0.000328179536445,0.0003659640560738,0.000168176158309,0.0003817325600868,False,True,False
NBI,gas_7a4663a14193823,test,4,3,4,2,0.45972544479238486,0.015130118837193327,96.98151150906456,106.23088063270492,0.130706787109375,0.000929762402323,0.0008321531955008,0.0003372635719998,0.0001494757886055,False,True,False
NBI,gas_358df89f502b5e42,test,4,3,4,1,0.3909051383643708,0.022905716086785474,91.98778838992138,107.93516572461452,0.09442138671875,0.0001530559564509,0.0003720818637527,0.0001924284806619,0.0001621477612022,False,True,False
NBI,gas_11cb07bb1b748e60,test,4,1,4,0,0.5599462380497792,0.0236416179822371,53.399544399519485,60.95283315485058,0.359130859375,0.001498659289265,0.0013980341214765,0.0012360794810873,0.0006071928922385,False,True,False
NBI,gas_2c20688b4848b320,test,4,3,4,2,0.40452876004835164,0.026693831928888325,79.93822891287009,117.0006410139345,0.0446014404296875,0.0006727128491855,0.0011670750570932,0.0002246768566459,4.626682670164778e-05,False,True,False
NBI,gas_243e4bc2b4d0642f,test,4,0,4,0,0.6709587950987221,0.03399550054564307,72.2501219346555,81.94614125957771,0.2871551513671875,0.0004254324543173,0.0005138810802517,0.0002950911162492,0.0002359811113098,False,True,False
NBI,gas_13be60855a9fb511,test,4,0,4,0,0.6512719978531081,0.03450510129301315,55.27259212027947,63.969520083830645,0.3032073974609375,0.0004475720816869,0.0006015164539717,0.0005337808718549,5.318223375406237e-05,False,True,False
NBI,gas_2dfbfd0b28aca611,test,4,0,4,0,0.6555925815300935,0.03646882817389732,51.965996521968066,63.30678963590677,0.3878021240234375,0.0005872911859875,0.0011215208383445,0.0006968317351794,0.0002966460439933,False,True,False
NBI,gas_f2dbf6021790f01e,test,4,0,4,0,0.762313986824928,0.0367742175683081,45.237875434201705,64.18176506775741,0.4171295166015625,0.0007202215377725,0.0012835853123087,0.0007423738683327,0.0009028539545589,False,True,False
NBI,gas_c76443e2959241,test,4,0,4,0,0.5965175269419545,0.03833827084106935,62.04887698375704,74.97832851637742,0.196319580078125,0.0012496543105764,0.0015919085301226,0.0010494770499524,0.0008656024480928,False,True,False
NBI,gas_cb06954170400105,test,4,0,4,0,0.7609845237459699,0.03872516954730463,44.331250002404005,53.681176739527096,0.5226287841796875,0.0003517036818115,0.0015995609513842,0.0015163624947586,0.0009111031461971,False,True,False
NBI,gas_9708ea8244c635a,test,4,2,4,3,0.4516208401562671,0.043900802242728104,122.62666407914402,138.462625107799,0.1358184814453125,0.0006054475736629,0.0006901539255365,0.0004182646493835,0.0003168153046568,False,True,False
NBI,gas_37268,test,4,2,4,1,0.4535807465898392,0.0452857816879894,79.30199606853739,126.58909900991492,0.302642822265625,0.0001024224996008,0.0003847150509853,0.0004190793619944,0.0001707918206982,False,True,False
NBI,gas_28bfaabe0f12f98e,test,4,0,4,0,0.5559333145693955,0.0456116910457835,58.92072477625511,68.60575712272525,0.149749755859375,0.0002666693054249,0.0003878676166359,0.0001586402451064,0.0001841571124728,False,True,False
NBI,gas_8c676604309f635a,test,4,0,4,0,0.7606727609919197,0.04583769093919255,48.57260176136758,62.60590708034005,0.86907958984375,0.0002808987565589,0.0005603921351955,0.0005072390119216,0.0006308538671966,False,True,False
NBI,gas_6083f65fa279a93b,test,4,2,4,0,0.40081790439771037,0.0471373458195158,61.17437962059817,73.97159476452336,0.2416229248046875,0.0010817941618716,0.0013015599797391,0.0004517295943311,0.0002449129049919,False,True,False
NBI,gas_8922bbe70906715,test,4,1,4,3,0.526318536817409,0.04898539872428918,106.04526387347546,115.38608926354328,0.30255126953125,0.0002731848480938,0.0007951817553485,0.0005380514946732,8.70513863731701e-05,False,True,False
NBI,gas_7cb3e4ae6ee1ca7d,test,4,2,4,0,0.48861572461951114,0.049405873849856244,40.71027903407646,48.84209223673819,0.0836334228515625,0.0006812237075678,0.000837906503056,0.0003265205528073,0.0002136587716941,False,True,False
